session_id;date;user_id;birth_date;gender;pc_zone;hours_played;extra_bar_spent;total_paid;payment_method;game_played;client_rating;discount_promo
SESS-10785;2026-08-08 16:05:37;USR-1660;2001-05-20;M;ps5;3;0;270;Card;CS2;5.0;1
SESS-13707;2026-08-26 20:04:52;USR-1150;2004-01-11;M;Bootcamp;2;470;300;Card;Dota 2;;0
SESS-15959;2026-08-14 18:39:18;USR-1407;2004-04-05;F;VIP;4;0;800;Card;Valorant;4.5;0
SESS-10036;2026-08-21 18:20:11;USR-1274;2006-12-08;M;Standard;3;0;300;Card;GTA V;5.0;0
SESS-12959;2026-08-15 23:02:02;USR-1046;2001-07-16;M;Standard;8;0;800;Card;Deadlock;;0
SESS-10489;2026-08-29 14:55:15;USR-1260;1996-07-23;M;PS5;2;0;500;Card;Dota 2;;0
SESS-11944;2026-08-15 18:36:11;USR-1016;2009-09-03;M;Standard;2;80;200;Cash;GTA V;;0
SESS-15383;2026-08-03 21:11:48;USR-1013;2011-03-19;M;Standard;4;0;400;Card;Minecraft;;0
SESS-16367;2026-08-27 13:06:38;USR-1168;2009-04-08;M;Standard;1;56;90;App;Minecraft;;1
SESS-10784;2026-08-23 10:43:54;USR-1644;2006-01-07;M;PS5;2;0;500;Card;Dota 2;;0
SESS-15624;2026-08-01 09:18:17;USR-1036;2007-01-05;M;Standard;12;0;1080;Card;Dota 2;;1
SESS-14957;2026-08-01 21:07:06;USR-1744;2007-10-09;M;Standard;8;0;720;App;Valorant;4.0;1
SESS-14586;2026-08-31 15:44:14;USR-1754;2005-07-08;M;Standard;3;0;300;Card;Dota 2;;0
SESS-10511;2026-08-14 22:58:33;USR-1424;02.06.2012;M;Standard;12;720;1200;Cash;Minecraft;;0
SESS-12293;2026-08-06 15:49:24;USR-1081;2000-10-04;M;VIP;1;400;200;App;Browser/Work;;0
SESS-11078;2026-08-09 13:17:44;USR-1162;2010-01-22;M;Standard;2;0;200;Cash;Dota 2;;0
