session_id;date;user_id;birth_date;gender;pc_zone;hours_played;extra_bar_spent;total_paid;payment_method;game_played;client_rating;discount_promo
SESS-16266;2026-08-26 01:46:56;USR-1735;1987-10-01;F;PS5;8;0;2000;Card;Cyberpunk 2077;;0
SESS-14616;2026-08-26 02:37:57;USR-1070;2008-04-24;M;VIP;2;658;360;Cash;Dota 2;;1
SESS-15596;2026-08-10 16:00:19;USR-1510;2010-12-16;M;Standard;2;80;200;Card;Minecraft;;0
SESS-10138;2026-08-15 10:18:56;USR-1044;1996-12-25;M;VIP;1;330;200;App;Cyberpunk 2077;;0
SESS-10788;2026-08-26 09:48:34;USR-1034;1991-12-14;M;VIP;1;550;200;Card;CS2;;0
SESS-14155;2026-08-09 11:54:09;USR-1310;2001-03-17;M;Standard;4;320;400;App;CS2;4.0;0
SESS-12435;2026-08-02 14:48:38;USR-1069;2011-02-16;M;Standard;2;0;200;App;CS2;2.0;0
SESS-16062;2026-08-29 16:43:15;USR-1175;2004-01-25;M;VIP;4;1007;720;Card;CS2;3.0;1
SESS-16648;2026-08-22 18:50:24;USR-1694;2005-10-01;M;Standard;3;0;270;Card;Valorant;;1
SESS-14034;2026-08-02 17:27:50;USR-1085;2000-07-21;M;VIP;1;420;200;Card;Dota 2;;0
SESS-16803;2026-08-27 17:51:28;USR-1050;2008-12-03;F;Standard;3;0;300;Cash;CS2;;0
SESS-12652;2026-08-29 22:44:41;USR-1291;2003-11-11;M;Bootcamp;5;0;750;Card;CS2;4.0;0
SESS-10940;2026-08-23 16:39:54;USR-1030;2002-07-03;M;Standard;4;0;400;Cash;CS2;;0
SESS-11305;2026-08-09 22:28:47;USR-1051;2011-06-02;F;Standard;8;0;800;App;Valorant;;0
SESS-15403;2026-08-12 16:05:32;USR-1409;2002-06-19;F;VIP;1;310;200;Card;Valorant;;0
SESS-15985;2026-08-15 18:41:19;USR-1665;1998-03-01;M;VIP;1;378;180;Card;CS2;5.0;1
SESS-14144;2026-08-23 17:36:25;USR-1675;1995-05-13;M;PS5;1;270;250;Card;GTA V;4.5;0
SESS-12815;2026-08-28 18:51:30;USR-1617;2006-01-04;M;PS5;2;0;500;App;Deadlock;5.0;0
SESS-14604;2026-08-22 18:46:58;USR-1259;1993-11-23;M;PS5;1;400;250;App;PUBG;;0
SESS-10177;2026-08-20 20:37:21;USR-1006;2007-06-18;M;Bootcamp;4;0;600;Card;Valorant;;0
SESS-13205;2026-08-01 15:19:57;USR-1627;2006-07-13;M;Standard;3;480;300;Card;Valorant;5.0;0
SESS-14482;2026-08-18 17:23:30;USR-1134;1995-04-07;M;VIP;4;0;800;Card;CS2;5.0;0
SESS-15069;2026-08-07 01:01:54;USR-1299;2011-11-09;M;Standard;8;0;720;Cash;Apex Legends;;1
SESS-12147;2026-08-18 16:01:36;USR-1547;2006-11-17;M;Standard;2;0;200;App;CS2;;0
SESS-13177;2026-08-23 13:26:29;USR-1029;1999-08-16;M;PS5;3;0;750;Card;GTA V;5.0;0
SESS-16775;2026-08-08 18:31:29;USR-1358;1999-07-08;M;Bootcamp;2;0;300;Card;GTA V;4.0;0
SESS-16466;2026-08-23 18:56:13;USR-1022;2012-11-14;F;Bootcamp;5;0;750;Cash;Minecraft;;0
SESS-14510;2026-08-01 18:16:41;USR-1056;2002-03-26;M;VIP;3;0;600;Card;CS2;;0
SESS-16188;2026-08-13 09:54:03;USR-1145;2003-05-21;M;Bootcamp;1;270;150;Card;Dota 2;;0
SESS-11742;2026-08-18 22:44:14;USR-1470;2009-07-10;M;Standard;8;0;800;App;Valorant;4.0;0
SESS-10505;2026-08-11 14:30:34;USR-1191;2004-10-14;M;Standard;3;240;300;App;Valorant;;0
SESS-13986;2026-08-05 21:51:50;USR-1585;1994-11-04;M;PS5;1;420;250;Card;CS2;;0
SESS-11476;2026-08-08 21:49:43;USR-1680;2011-10-20;M;Standard;2;0;200;App;Dota 2;5.0;0
SESS-16040;2026-08-22 20:43:42;USR-1709;1996-11-07;M;Standard;3;750;300;Cash;Dota 2;4.0;0
SESS-15141;2026-08-07 20:03:45;USR-1722;2006-12-24;M;VIP;2;320;400;Card;Dota 2;;0
