session_id;user_id;pc_id;pc_zone;date;hours_played;pc_paid;discount_promo;bar_orders
SESS-30000;USR-3307;PC-33;Standard;2026-08-30 09:26:00;2;200;0;"[{""item_id"": ""BAR-02"", ""qty"": 2, ""price"": 200}, {""item_id"": ""BAR-01"", ""qty"": 2, ""price"": 120}]"
SESS-30001;USR-3543;PC-10;Standard;2026-08-07 04:12:00;2;200;0;[]
SESS-30002;USR-3679;PC-31;Bootcamp;2026-08-19 11:13:00;1;150;0;"[{""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}]"
SESS-30003;USR-3001;PC-25;Bootcamp;2026-08-21 20:13:00;3;405;1;"[{""item_id"": ""BAR-07"", ""qty"": 1, ""price"": 280}]"
SESS-30004;USR-3425;PC-21;VIP;2026-08-03 04:31:00;2;400;0;"[{""item_id"": ""BAR-06"", ""qty"": 1, ""price"": 160}, {""item_id"": ""BAR-04"", ""qty"": 1, ""price"": 100}, {""item_id"": ""BAR-13"", ""qty"": 2, ""price"": 90}]"
SESS-30005;USR-3587;PC-24;Standard;2026-08-03 13:20:00;2;200;0;[]
SESS-30006;USR-3116;PC-05;Standard;2026-08-25 22:17:00;3;300;0;"[{""item_id"": ""BAR-06"", ""qty"": 1, ""price"": 160}, {""item_id"": ""BAR-13"", ""qty"": 1, ""price"": 90}]"
SESS-30007;USR-3104;PC-19;Standard;2026-08-09 06:50:00;3;300;0;"[{""item_id"": ""BAR-12"", ""qty"": 1, ""price"": 260}, {""item_id"": ""BAR-08"", ""qty"": 1, ""price"": 70}]"
SESS-30008;USR-3420;PC-21;VIP;2026-08-15 15:46:00;12;2160;1;"[{""item_id"": ""BAR-10"", ""qty"": 1, ""price"": 90}]"
SESS-30009;USR-3315;PC-21;PS5;2026-08-23 03:21:00;2;500;0;"[{""item_id"": ""BAR-01"", ""qty"": 2, ""price"": 120}, {""item_id"": ""BAR-09"", ""qty"": 1, ""price"": 90}]"
SESS-30010;USR-3551;PC-31;VIP;2026-08-25 08:36:00;2;400;0;"[{""item_id"": ""BAR-14"", ""qty"": 1, ""price"": 110}, {""item_id"": ""BAR-02"", ""qty"": 3, ""price"": 200}]"
SESS-30011;USR-3318;PC-14;Standard;2026-08-09 11:53:00;2;200;0;"[{""item_id"": ""BAR-13"", ""qty"": 1, ""price"": 90}, {""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}, {""item_id"": ""BAR-12"", ""qty"": 1, ""price"": 260}]"
SESS-30012;USR-3037;PC-29;Bootcamp;2026-08-07 08:31:00;2;300;0;"[{""item_id"": ""BAR-12"", ""qty"": 1, ""price"": 260}]"
SESS-30013;USR-3643;PC-37;Bootcamp;2026-08-07 06:04:00;4;540;1;"[{""item_id"": ""BAR-02"", ""qty"": 2, ""price"": 200}, {""item_id"": ""BAR-14"", ""qty"": 3, ""price"": 110}, {""item_id"": ""BAR-07"", ""qty"": 1, ""price"": 280}]"
SESS-30014;USR-3302;PC-45;Standard;2026-08-19 05:44:00;1;100;0;"[{""item_id"": ""BAR-14"", ""qty"": 1, ""price"": 110}]"
SESS-30015;;PC-31;Standard;2026-08-12 15:27:00;2;200;0;"[{""item_id"": ""BAR-06"", ""qty"": 1, ""price"": 160}]"
SESS-30016;USR-3022;PC-11;Standard;2026-08-04 11:19:00;1;100;0;"[{""item_id"": ""BAR-09"", ""qty"": 1, ""price"": 90}]"
SESS-30017;;PC-30;Standard;2026-08-13 14:08:00;3;300;0;"[{""item_id"": ""BAR-13"", ""qty"": 1, ""price"": 90}]"
