user_id;cohort;birth_date;gender
USR-3000;2026-Q1;2004-02-19;M
USR-3001;2025-Q3;2005-06-17;F
USR-3002;2025-Q3;2012-06-09;M
USR-3003;2025-Q3;2005-02-26;F
USR-3004;2026-Q1;1994-08-06;M
USR-3005;2026-Q3;2005-02-27;M
USR-3006;2025-Q3;2006-11-07;F
USR-3007;2025-Q4;2010-12-16;M
USR-3008;2026-Q1;1996-01-13;F
USR-3009;2026-Q1;2006-01-07;M
USR-3010;2026-Q2;2005-02-14;F
USR-3011;2026-Q1;2008-02-18;M
USR-3012;2026-Q3;1995-05-13;M
USR-3013;2026-Q2;2007-03-01;M
USR-3014;2026-Q2;2005-05-07;M
USR-3015;2026-Q1;2005-01-24;M
USR-3016;2026-Q1;2005-10-24;M
USR-3017;2026-Q1;1996-10-08;M
USR-3018;2025-Q3;2008-03-10;M
USR-3019;2025-Q4;2005-04-03;M
USR-3020;2025-Q4;1996-07-23;M
USR-3021;2026-Q2;2010-01-19;M
USR-3022;2025-Q4;2005-07-02;M
USR-3023;2025-Q4;2010-02-24;F
USR-3024;2026-Q1;2005-11-07;F
USR-3025;2026-Q1;2003-08-27;M
USR-3026;2026-Q2;2005-04-21;M
USR-3027;2026-Q1;2003-01-16;M
USR-3028;2026-Q3;2005-06-02;M
USR-3029;2026-Q1;2009-10-01;M
USR-3030;2026-Q1;2005-06-13;F
USR-3031;2026-Q1;2009-05-26;M
USR-3032;2026-Q2;2004-07-09;M
USR-3033;2026-Q1;2005-04-22;M
USR-3034;2026-Q2;2011-12-02;M
USR-3035;2026-Q2;2005-07-18;M
USR-3036;2025-Q4;2006-07-17;M
USR-3037;2026-Q2;2002-10-18;M
USR-3038;2026-Q1;2011-08-20;M
USR-3039;2026-Q3;2010-07-23;M
USR-3040;2026-Q3;2006-04-15;M
USR-3041;2026-Q2;2005-09-27;M
USR-3042;2026-Q3;2005-06-13;M
USR-3043;2025-Q4;2007-11-23;M
USR-3044;2025-Q4;2007-06-13;M
USR-3045;2026-Q1;2005-12-09;F
USR-3046;2026-Q3;2005-06-16;M
USR-3047;2026-Q3;2005-11-13;F
USR-3048;2026-Q2;2007-03-05;M
USR-3049;2025-Q3;1994-07-23;F
USR-3050;2026-Q1;1996-11-25;M
USR-3051;2026-Q2;2011-10-21;M
USR-3052;2026-Q2;2005-07-01;F
USR-3053;2026-Q3;2006-08-14;M
USR-3054;2026-Q1;2008-05-09;M
USR-3055;2026-Q1;2006-03-04;M
USR-3056;2026-Q1;2010-03-22;M
USR-3057;2025-Q4;2005-08-17;M
USR-3058;2026-Q2;2005-03-01;M
USR-3059;2026-Q2;2006-10-17;F
USR-3060;2025-Q4;1995-12-08;M
USR-3061;2026-Q2;2005-12-07;M
USR-3062;2026-Q3;2005-01-10;M
USR-3063;2026-Q1;2012-11-19;F
USR-3064;2026-Q2;2012-05-01;M
USR-3065;2025-Q4;2005-06-14;F
USR-3066;2025-Q4;2012-04-19;M
USR-3067;2026-Q1;1996-07-12;M
USR-3068;2025-Q4;2004-02-22;F
USR-3069;2025-Q3;1996-07-19;F
USR-3070;2026-Q1;2004-02-10;M
USR-3071;2026-Q1;2009-07-08;F
USR-3072;2025-Q4;2011-07-24;M
USR-3073;2026-Q2;2006-08-07;M
USR-3074;2026-Q1;1997-08-10;M
USR-3075;2025-Q4;2006-11-04;M
USR-3076;2026-Q1;2005-03-13;M
USR-3077;2026-Q3;2010-02-13;M
USR-3078;2025-Q3;1994-02-02;M
USR-3079;2026-Q2;2012-03-04;M
USR-3080;2026-Q1;2010-07-25;M
USR-3081;2026-Q1;2005-11-23;M
USR-3082;2025-Q3;2008-11-04;M
USR-3083;2026-Q2;2012-10-25;M
USR-3084;2026-Q2;1994-05-19;F
USR-3085;2026-Q2;2008-05-12;M
USR-3086;2026-Q1;1997-04-18;M
USR-3087;2026-Q3;2009-02-06;M
USR-3088;2026-Q1;2010-08-14;M
USR-3089;2026-Q2;1995-04-01;M
USR-3090;2026-Q2;2007-12-12;M
USR-3091;2026-Q1;2010-01-17;M
USR-3092;2026-Q1;2005-07-22;M
USR-3093;2026-Q3;1996-04-18;M
USR-3094;2025-Q3;1996-03-21;M
USR-3095;2025-Q3;1996-02-20;M
USR-3096;2026-Q2;2010-07-13;M
USR-3097;2026-Q3;2009-12-12;M
USR-3098;2025-Q3;2004-12-26;F
USR-3099;2026-Q2;1996-08-20;M
USR-3100;2026-Q1;1997-01-24;M
USR-3101;2026-Q2;2005-03-02;M
USR-3102;2026-Q1;2011-01-08;M
USR-3103;2026-Q1;2005-06-17;M
USR-3104;2025-Q3;1996-12-04;F
