user_id;cohort;birth_date;gender
USR-3000;2025-Q3;2009-07-25;M
USR-3001;2026-Q2;2006-04-06;F
USR-3002;2026-Q1;1996-02-08;M
USR-3003;2026-Q1;2012-04-18;M
USR-3004;2025-Q3;2005-12-19;M
USR-3005;2026-Q2;2009-11-17;M
USR-3006;2026-Q1;1998-02-21;M
USR-3007;2025-Q3;1998-02-13;M
USR-3008;2025-Q4;2009-11-27;M
USR-3009;2025-Q3;2007-01-11;M
USR-3010;2026-Q2;1996-05-02;F
USR-3011;2026-Q1;2009-12-22;F
USR-3012;2026-Q1;1996-09-07;F
USR-3013;2025-Q4;2005-09-06;M
USR-3014;2026-Q1;2007-07-22;M
USR-3015;2025-Q4;2009-08-22;M
USR-3016;2026-Q3;1996-07-15;M
USR-3017;2025-Q4;1996-04-13;M
USR-3018;2025-Q4;2010-07-21;M
USR-3019;2025-Q4;1995-07-02;M
USR-3020;2026-Q2;2010-04-14;M
USR-3021;2026-Q1;2002-09-04;M
USR-3022;2026-Q2;2005-08-07;M
USR-3023;2026-Q2;2005-09-18;F
USR-3024;2026-Q2;2005-09-25;M
USR-3025;2026-Q3;2002-03-04;F
USR-3026;2026-Q2;1999-05-15;M
USR-3027;2026-Q2;2006-08-18;F
USR-3028;2025-Q4;2010-10-07;M
USR-3029;2026-Q1;2008-03-28;M
USR-3030;2025-Q4;1996-07-26;M
USR-3031;2025-Q3;2012-01-17;M
USR-3032;2026-Q2;2007-08-23;F
USR-3033;2026-Q2;2007-04-23;M
USR-3034;2025-Q4;2009-10-04;M
USR-3035;2026-Q3;2005-02-26;M
USR-3036;2026-Q3;2005-08-03;M
USR-3037;2026-Q2;2010-02-05;M
USR-3038;2026-Q2;2012-06-17;M
USR-3039;2026-Q1;2011-11-28;M
USR-3040;2026-Q2;2009-12-12;F
USR-3041;2026-Q1;2005-07-05;M
USR-3042;2025-Q4;1997-04-13;M
USR-3043;2026-Q2;2012-12-26;M
USR-3044;2026-Q3;2009-06-01;M
USR-3045;2026-Q2;2009-11-14;M
USR-3046;2026-Q1;2005-12-27;M
USR-3047;2026-Q3;2005-04-10;M
USR-3048;2026-Q1;2006-03-24;M
USR-3049;2026-Q1;2003-04-15;M
USR-3050;2026-Q3;2003-06-08;M
