user_id;birth_date;gender;loyalty_tier
USR-1000;1994-11-17;M;Bronze
USR-1001;2010-07-10;M;Gold
USR-1002;2003-10-07;M;Silver
USR-1003;2005-12-17;F;Bronze
USR-1004;1996-11-01;M;Bronze
USR-1005;2003-12-16;M;Silver
USR-1006;2010-07-16;M;Bronze
USR-1007;1999-01-08;M;Bronze
USR-1008;2004-11-05;M;Bronze
USR-1009;2012-03-03;M;Silver
USR-1010;2005-11-06;M;Bronze
USR-1011;2009-04-16;M;Silver
USR-1012;1994-08-01;M;Silver
USR-1013;2004-06-24;M;Bronze
USR-1014;2005-12-27;M;Bronze
USR-1015;1994-05-07;M;Silver
USR-1016;1996-04-07;M;Platinum
USR-1017;2005-06-17;M;Silver
USR-1018;1996-09-07;M;Bronze
USR-1019;2006-06-08;M;Bronze
USR-1020;2008-10-25;F;Silver
USR-1021;2007-01-04;F;Silver
USR-1022;2007-05-21;M;Bronze
USR-1023;2008-02-04;F;Bronze
USR-1024;2004-02-28;M;Silver
USR-1025;1996-04-11;M;Bronze
USR-1026;2012-06-13;M;Gold
USR-1027;2003-04-13;M;Silver
USR-1028;1995-08-26;F;Bronze
USR-1029;2006-07-11;M;Bronze
USR-1030;2006-05-14;M;Gold
USR-1031;2003-10-03;M;Gold
USR-1032;2010-03-15;M;Bronze
USR-1033;1996-05-14;M;Silver
USR-1034;2005-03-13;F;Bronze
USR-1035;1996-06-08;M;Silver
USR-1036;2010-12-28;M;Silver
USR-1037;2005-04-21;M;Gold
USR-1038;1996-07-25;M;Bronze
USR-1039;2005-08-10;M;Silver
USR-1040;2004-11-06;M;Silver
USR-1041;2002-08-22;M;Gold
USR-1042;2010-04-16;F;Silver
USR-1043;2005-04-15;M;Silver
USR-1044;2007-07-25;M;Gold
USR-1045;1998-04-11;F;Gold
USR-1046;2007-11-14;F;Bronze
USR-1047;2010-05-06;M;Bronze
USR-1048;2005-09-26;F;Bronze
USR-1049;2007-11-19;M;Bronze
USR-1050;2003-10-20;M;Silver
USR-1051;2010-09-27;M;Silver
USR-1052;2009-02-12;M;Bronze
USR-1053;2007-02-15;M;Silver
USR-1054;2005-04-04;M;Gold
USR-1055;2012-06-14;M;Silver
USR-1056;1997-02-05;M;Silver
USR-1057;2009-01-28;M;Bronze
USR-1058;1993-01-14;M;Silver
USR-1059;2005-10-04;M;Silver
