user_id;birth_date;gender;loyalty_tier
USR-1000;2005-09-24;M;Bronze
USR-1001;1996-03-28;M;Bronze
USR-1002;2005-12-25;M;Silver
USR-1003;2005-02-12;M;Bronze
USR-1004;1996-09-25;M;Bronze
USR-1005;2011-08-21;M;Gold
USR-1006;2005-10-15;M;Silver
USR-1007;2006-07-09;M;Bronze
USR-1008;2000-02-14;M;Platinum
USR-1009;2012-10-14;M;Gold
USR-1010;2005-07-12;M;Bronze
USR-1011;2005-05-26;M;Silver
USR-1012;2005-03-24;M;Silver
USR-1013;2005-05-02;M;Bronze
USR-1014;2006-12-08;M;Bronze
USR-1015;2010-02-27;M;Gold
USR-1016;2010-01-13;M;Bronze
USR-1017;2005-03-11;M;Gold
USR-1018;2008-11-08;F;Platinum
USR-1019;2005-11-20;M;Platinum
USR-1020;1995-09-07;M;Gold
USR-1021;2007-11-18;M;Bronze
USR-1022;2008-02-04;M;Bronze
USR-1023;2004-05-18;M;Silver
USR-1024;2008-07-11;M;Gold
USR-1025;2008-06-22;M;Bronze
USR-1026;2002-12-13;M;Bronze
USR-1027;2005-05-22;M;Bronze
USR-1028;2011-11-07;M;Bronze
USR-1029;2005-06-22;F;Platinum
USR-1030;2003-12-03;M;Gold
USR-1031;2005-06-20;M;Bronze
USR-1032;2005-03-23;M;Platinum
USR-1033;2002-06-07;M;Gold
USR-1034;2010-09-03;M;Bronze
USR-1035;2006-01-08;M;Silver
USR-1036;2012-12-27;M;Gold
USR-1037;2006-03-16;M;Bronze
USR-1038;2011-02-05;M;Gold
USR-1039;2009-10-24;F;Bronze
USR-1040;1997-08-24;M;Silver
USR-1041;2006-11-05;M;Silver
USR-1042;2011-01-04;M;Bronze
USR-1043;2005-11-16;M;Silver
USR-1044;2004-05-19;M;Bronze
USR-1045;1996-05-11;F;Gold
USR-1046;1996-04-05;M;Bronze
USR-1047;2005-09-13;M;Bronze
USR-1048;1994-03-11;M;Bronze
USR-1049;2007-06-11;M;Silver
USR-1050;1995-06-08;M;Bronze
USR-1051;2005-11-24;M;Bronze
USR-1052;2005-10-03;M;Silver
USR-1053;2003-06-11;M;Bronze
USR-1054;2005-06-22;M;Bronze
USR-1055;1996-04-07;M;Bronze
USR-1056;2005-04-19;F;Gold
USR-1057;2008-02-22;M;Gold
USR-1058;2008-04-25;F;Silver
USR-1059;1998-04-01;M;Bronze
USR-1060;2003-08-17;M;Gold
USR-1061;2008-12-14;M;Bronze
USR-1062;2005-06-27;M;Bronze
USR-1063;2005-07-12;F;Bronze
USR-1064;2010-02-02;M;Gold
USR-1065;2004-12-04;M;Bronze
USR-1066;2010-06-10;F;Bronze
USR-1067;1997-10-07;M;Silver
USR-1068;2006-11-26;M;Bronze
USR-1069;2007-06-12;M;Bronze
USR-1070;2007-02-23;M;Silver
USR-1071;1995-04-02;M;Silver
USR-1072;1996-06-09;F;Platinum
USR-1073;2005-02-02;M;Bronze
USR-1074;2007-07-05;M;Silver
USR-1075;2009-04-23;M;Silver
USR-1076;2004-03-12;M;Bronze
USR-1077;2006-07-28;M;Silver
USR-1078;2004-07-03;M;Silver
USR-1079;2006-12-08;M;Bronze
USR-1080;1996-02-26;M;Gold
USR-1081;1994-08-08;M;Bronze
USR-1082;2010-11-04;M;Bronze
USR-1083;2009-04-27;M;Bronze
USR-1084;2005-06-05;M;Bronze
USR-1085;2012-12-11;M;Gold
USR-1086;1997-01-01;M;Bronze
USR-1087;1996-10-21;M;Silver
USR-1088;2010-10-28;F;Bronze
USR-1089;2003-04-19;M;Gold
USR-1090;2007-12-26;M;Bronze
USR-1091;2010-03-08;F;Gold
USR-1092;2006-03-24;M;Silver
USR-1093;2006-11-27;M;Silver
USR-1094;2004-08-19;M;Gold
USR-1095;2011-05-27;M;Silver
USR-1096;2011-02-24;M;Gold
USR-1097;1996-10-15;F;Silver
USR-1098;2012-07-19;F;Bronze
USR-1099;2010-06-16;M;Bronze
USR-1100;2004-08-21;M;Silver
USR-1101;2005-05-01;M;Bronze
USR-1102;2012-05-06;M;Silver
USR-1103;2002-08-22;M;Bronze
USR-1104;1998-08-09;M;Silver
USR-1105;1996-02-25;M;Bronze
USR-1106;2005-12-23;M;Silver
USR-1107;2005-05-13;M;Silver
USR-1108;2005-01-20;M;Silver
USR-1109;2005-06-15;M;Silver
USR-1110;1996-03-15;M;Bronze
USR-1111;2005-02-21;M;Silver
USR-1112;2005-09-18;M;Platinum
USR-1113;1996-07-24;M;Gold
USR-1114;2005-10-07;M;Bronze
USR-1115;2012-11-15;M;Bronze
USR-1116;1994-06-21;F;Bronze
USR-1117;1998-08-11;F;Bronze
USR-1118;1995-02-23;F;Bronze
USR-1119;2007-03-21;M;Gold
USR-1120;2005-11-19;M;Bronze
USR-1121;2006-09-03;M;Silver
USR-1122;2005-01-07;F;Silver
USR-1123;1995-04-17;M;Silver
USR-1124;2005-10-15;M;Bronze
USR-1125;2007-09-08;M;Bronze
USR-1126;2007-07-09;M;Silver
USR-1127;2005-12-27;F;Silver
USR-1128;2010-09-03;M;Bronze
USR-1129;2006-03-06;M;Bronze
USR-1130;2005-11-24;M;Bronze
USR-1131;2004-05-11;M;Platinum
USR-1132;2007-05-19;M;Gold
USR-1133;2009-09-08;F;Bronze
USR-1134;2012-05-13;M;Silver
USR-1135;1996-08-03;M;Bronze
USR-1136;2005-02-22;M;Gold
USR-1137;2005-02-21;M;Bronze
USR-1138;1995-05-24;M;Gold
USR-1139;1994-02-04;M;Silver
USR-1140;2005-12-21;F;Bronze
USR-1141;2005-07-07;F;Bronze
USR-1142;2010-11-17;M;Bronze
USR-1143;1997-01-26;M;Gold
