user_id;birth_date;gender;loyalty_tier
USR-2000;2011-04-05;M;Bronze
USR-2001;2005-06-05;M;Gold
USR-2002;2010-10-04;M;Standard
USR-2003;2006-01-03;M;Bronze
USR-2004;2006-12-13;M;Standard
USR-2005;1995-04-17;F;VIP
USR-2006;2004-05-20;M;Bronze
USR-2007;2003-07-25;M;Bronze
USR-2008;1992-04-09;M;Bronze
USR-2009;2003-06-14;M;Standard
USR-2010;1997-01-23;M;Standard
USR-2011;1996-07-14;M;Standard
USR-2012;2006-07-23;M;Bronze
USR-2013;2003-02-26;M;Silver
USR-2014;2010-09-22;M;VIP
USR-2015;2005-05-16;M;Standard
USR-2016;2006-10-24;M;Silver
USR-2017;2007-04-14;M;Silver
USR-2018;1993-10-13;M;Standard
USR-2019;1997-02-27;M;Bronze
USR-2020;2008-01-20;M;Gold
USR-2021;2004-06-17;M;Standard
USR-2022;2004-01-03;M;Silver
USR-2023;1997-12-17;M;Silver
USR-2024;1995-04-23;M;Bronze
USR-2025;2008-07-06;M;Silver
USR-2026;2012-07-06;F;Bronze
USR-2027;2005-03-03;M;Bronze
USR-2028;2011-11-05;M;Standard
USR-2029;2010-11-01;F;Silver
USR-2030;1996-08-05;F;Standard
USR-2031;2005-05-14;M;Bronze
USR-2032;2006-05-18;M;Standard
USR-2033;2003-01-08;M;Standard
USR-2034;2005-05-18;M;Standard
USR-2035;2005-02-24;M;Standard
USR-2036;2008-06-11;M;Bronze
USR-2037;2005-05-01;M;Silver
USR-2038;2005-05-22;M;Silver
USR-2039;2004-03-08;M;Bronze
USR-2040;2002-11-06;M;Bronze
USR-2041;1996-12-03;M;Bronze
USR-2042;2006-07-11;F;Standard
USR-2043;2006-09-05;M;Silver
USR-2044;2005-02-12;M;Standard
USR-2045;2008-02-03;M;Standard
USR-2046;2009-10-05;M;Silver
USR-2047;2005-09-06;M;Bronze
USR-2048;2003-04-13;M;Standard
USR-2049;2010-11-25;M;Standard
USR-2050;2005-08-13;M;Standard
USR-2051;2010-12-08;M;Gold
USR-2052;2005-09-18;F;Gold
USR-2053;2010-06-24;M;Standard
USR-2054;2008-01-24;M;Bronze
USR-2055;2005-12-01;M;Bronze
USR-2056;2009-02-23;M;Gold
