session_id;user_id;pc_id;pc_zone;date;hours_played;pc_paid;discount_promo;bar_orders
SESS-30000;USR-3445;PC-38;Standard;2026-08-19 03:31:00;3;300;0;[]
SESS-30001;USR-3442;PC-04;Bootcamp;2026-08-16 01:56:00;3;405;1;"[{""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}]"
SESS-30002;USR-3489;PC-25;Bootcamp;2026-08-28 18:44:00;2;300;0;"[{""item_id"": ""BAR-08"", ""qty"": 2, ""price"": 70}, {""item_id"": ""BAR-15"", ""qty"": 2, ""price"": 140}]"
SESS-30003;USR-3121;PC-33;Bootcamp;2026-08-17 00:28:00;2;300;0;"[{""item_id"": ""BAR-13"", ""qty"": 1, ""price"": 90}]"
SESS-30004;USR-3576;PC-08;Bootcamp;2026-08-18 08:32:00;5;750;0;[]
SESS-30005;USR-3197;PC-37;Standard;2026-08-03 18:30:00;3;300;0;[]
SESS-30006;;PC-03;VIP;2026-08-15 01:45:00;4;800;0;"[{""item_id"": ""BAR-05"", ""qty"": 3, ""price"": 70}, {""item_id"": ""BAR-10"", ""qty"": 1, ""price"": 90}, {""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}]"
SESS-30007;USR-3102;PC-27;Bootcamp;2026-08-01 10:01:00;3;450;0;"[{""item_id"": ""BAR-06"", ""qty"": 1, ""price"": 160}]"
SESS-30008;USR-3338;PC-19;Standard;2026-08-11 09:42:00;3;300;0;[]
SESS-30009;USR-3117;PC-18;VIP;2026-08-23 00:50:00;1;200;0;"[{""item_id"": ""BAR-03"", ""qty"": 1, ""price"": 240}]"
SESS-30010;USR-3481;PC-38;Standard;2026-08-12 05:50:00;5;500;0;"[{""item_id"": ""BAR-08"", ""qty"": 2, ""price"": 70}]"
SESS-30011;;PC-45;VIP;2026-08-17 02:31:00;3;600;0;[]
SESS-30012;USR-3429;PC-30;Standard;2026-08-27 05:50:00;3;270;1;"[{""item_id"": ""BAR-10"", ""qty"": 2, ""price"": 90}, {""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}, {""item_id"": ""BAR-06"", ""qty"": 1, ""price"": 160}]"
SESS-30013;USR-3370;PC-15;Bootcamp;2026-08-11 04:04:00;3;450;0;[]
SESS-30014;USR-3063;PC-16;Standard;2026-08-02 15:45:00;2;200;0;"[{""item_id"": ""BAR-11"", ""qty"": 1, ""price"": 220}]"
SESS-30015;USR-3016;PC-07;Standard;2026-08-06 22:16:00;3;300;0;"[{""item_id"": ""BAR-10"", ""qty"": 2, ""price"": 90}, {""item_id"": ""BAR-09"", ""qty"": 1, ""price"": 90}]"
SESS-30016;USR-3328;PC-39;Standard;2026-08-15 12:37:00;3;270;1;"[{""item_id"": ""BAR-12"", ""qty"": 2, ""price"": 260}, {""item_id"": ""BAR-01"", ""qty"": 2, ""price"": 120}]"
SESS-30017;USR-3646;PC-11;Standard;2026-08-12 01:20:00;4;360;1;"[{""item_id"": ""BAR-09"", ""qty"": 1, ""price"": 90}, {""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}]"
SESS-30018;USR-3540;PC-26;Standard;2026-08-05 05:54:00;4;360;1;[]
SESS-30019;USR-3484;PC-44;Bootcamp;2026-08-02 03:52:00;2;300;0;[]
SESS-30020;USR-3001;PC-37;Standard;2026-08-21 13:36:00;2;200;0;[]
SESS-30021;USR-3557;PC-44;Standard;2026-08-17 19:50:00;3;300;0;"[{""item_id"": ""BAR-09"", ""qty"": 1, ""price"": 90}]"
SESS-30022;USR-3666;PC-44;VIP;2026-08-25 17:31:00;1;200;0;"[{""item_id"": ""BAR-01"", ""qty"": 2, ""price"": 120}, {""item_id"": ""BAR-12"", ""qty"": 1, ""price"": 260}, {""item_id"": ""BAR-03"", ""qty"": 1, ""price"": 240}]"
SESS-30023;USR-3501;PC-32;Standard;2026-08-05 16:42:00;2;200;0;"[{""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}]"
SESS-30024;USR-3621;PC-03;Standard;2026-08-18 20:06:00;3;300;0;[]
SESS-30025;USR-3255;PC-30;VIP;2026-08-07 11:27:00;3;600;0;"[{""item_id"": ""BAR-01"", ""qty"": 3, ""price"": 120}]"
SESS-30026;USR-3192;PC-33;Standard;2026-08-10 21:09:00;4;360;1;"[{""item_id"": ""BAR-10"", ""qty"": 1, ""price"": 90}, {""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}, {""item_id"": ""BAR-13"", ""qty"": 2, ""price"": 90}]"
SESS-30027;USR-3270;PC-24;Standard;2026-08-07 08:02:00;3;300;0;[]
SESS-30028;USR-3212;PC-21;Bootcamp;2026-08-21 18:18:00;2;300;0;[]
SESS-30029;USR-3588;PC-24;PS5;2026-08-12 10:44:00;1;250;0;"[{""item_id"": ""BAR-09"", ""qty"": 1, ""price"": 90}]"
SESS-30030;USR-3517;PC-33;Standard;2026-08-05 20:00:00;1;100;0;"[{""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}, {""item_id"": ""BAR-05"", ""qty"": 1, ""price"": 70}]"
SESS-30031;USR-3410;PC-21;Bootcamp;2026-08-28 21:38:00;1;150;0;"[{""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}]"
SESS-30032;USR-3617;PC-13;Standard;2026-08-19 18:42:00;3;300;0;"[{""item_id"": ""BAR-08"", ""qty"": 1, ""price"": 70}, {""item_id"": ""BAR-12"", ""qty"": 1, ""price"": 260}]"
SESS-30033;USR-3617;PC-04;Standard;2026-08-20 18:17:00;3;300;0;[]
SESS-30034;USR-3562;PC-29;Standard;2026-08-22 23:04:00;2;200;0;[]
SESS-30035;USR-3078;PC-26;Standard;2026-08-07 18:16:00;1;100;0;"[{""item_id"": ""BAR-08"", ""qty"": 1, ""price"": 70}, {""item_id"": ""BAR-10"", ""qty"": 1, ""price"": 90}]"
SESS-30036;USR-3205;PC-35;Bootcamp;2026-08-10 11:51:00;4;540;1;"[{""item_id"": ""BAR-06"", ""qty"": 1, ""price"": 160}]"
SESS-30037;;PC-06;Standard;2026-08-12 07:08:00;2;200;0;"[{""item_id"": ""BAR-09"", ""qty"": 1, ""price"": 90}]"
SESS-30038;USR-3012;PC-09;VIP;2026-08-04 13:22:00;2;400;0;[]
SESS-30039;USR-3367;PC-10;Bootcamp;2026-08-06 05:18:00;1;150;0;"[{""item_id"": ""BAR-08"", ""qty"": 1, ""price"": 70}]"
SESS-30040;USR-3474;PC-09;VIP;2026-08-30 13:40:00;3;600;0;[]
SESS-30041;USR-3414;PC-34;Bootcamp;2026-08-15 13:44:00;1;150;0;"[{""item_id"": ""BAR-12"", ""qty"": 1, ""price"": 260}, {""item_id"": ""BAR-14"", ""qty"": 3, ""price"": 110}]"
SESS-30042;USR-3172;PC-10;Bootcamp;2026-08-02 02:01:00;2;300;0;[]
SESS-30043;USR-3554;PC-42;Standard;2026-08-27 15:00:00;2;200;0;[]
SESS-30044;USR-3280;PC-19;Bootcamp;2026-08-12 18:00:00;4;600;0;"[{""item_id"": ""BAR-03"", ""qty"": 2, ""price"": 240}]"
SESS-30045;USR-3333;PC-11;Bootcamp;2026-08-24 05:44:00;8;1080;1;"[{""item_id"": ""BAR-14"", ""qty"": 1, ""price"": 110}]"
SESS-30046;USR-3371;PC-10;Standard;2026-08-04 18:33:00;3;300;0;[]
SESS-30047;USR-3027;PC-17;Standard;2026-08-16 04:56:00;2;200;0;"[{""item_id"": ""BAR-14"", ""qty"": 1, ""price"": 110}]"
SESS-30048;USR-3555;PC-07;Standard;2026-08-12 04:58:00;3;300;0;[]
SESS-30049;USR-3083;PC-10;Standard;2026-08-09 17:31:00;3;300;0;[]
SESS-30050;USR-3277;PC-42;PS5;2026-08-04 07:53:00;2;500;0;[]
SESS-30051;USR-3473;PC-11;VIP;2026-08-08 06:11:00;4;800;0;"[{""item_id"": ""BAR-08"", ""qty"": 1, ""price"": 70}]"
SESS-30052;USR-3212;PC-16;Standard;2026-08-27 11:03:00;2;200;0;[]
SESS-30053;;PC-19;VIP;2026-08-12 11:59:00;4;720;1;[]
SESS-30054;USR-3315;PC-33;PS5;2026-08-30 12:45:00;4;1000;0;[]
SESS-30055;USR-3500;PC-03;VIP;2026-08-04 23:56:00;2;400;0;"[{""item_id"": ""BAR-15"", ""qty"": 1, ""price"": 140}]"
SESS-30056;USR-3099;PC-31;Standard;2026-08-23 13:28:00;2;200;0;"[{""item_id"": ""BAR-08"", ""qty"": 1, ""price"": 70}]"
SESS-30057;USR-3299;PC-19;Standard;2026-08-09 06:43:00;4;400;0;"[{""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}]"
SESS-30058;;PC-06;Standard;2026-08-27 02:53:00;1;100;0;[]
SESS-30059;USR-3574;PC-25;Bootcamp;2026-08-17 15:07:00;2;300;0;"[{""item_id"": ""BAR-14"", ""qty"": 1, ""price"": 110}]"
SESS-30060;USR-3273;PC-31;Bootcamp;2026-08-28 06:20:00;4;600;0;"[{""item_id"": ""BAR-08"", ""qty"": 1, ""price"": 70}, {""item_id"": ""BAR-13"", ""qty"": 2, ""price"": 90}]"
SESS-30061;USR-3146;PC-14;Bootcamp;2026-08-10 21:53:00;2;300;0;"[{""item_id"": ""BAR-02"", ""qty"": 2, ""price"": 200}, {""item_id"": ""BAR-08"", ""qty"": 1, ""price"": 70}]"
