user_id;cohort;birth_date;gender
USR-3000;2025-Q4;2011-12-26;M
USR-3001;2025-Q4;2009-05-05;F
USR-3002;2026-Q1;2005-05-22;M
USR-3003;2026-Q1;2001-08-12;M
USR-3004;2026-Q1;1996-11-19;M
USR-3005;2026-Q1;2003-06-16;M
USR-3006;2026-Q3;2011-05-27;M
USR-3007;2026-Q2;1993-08-26;M
USR-3008;2026-Q1;2009-06-06;M
USR-3009;2026-Q2;2006-11-02;M
USR-3010;2026-Q2;1998-01-02;M
USR-3011;2026-Q1;2006-01-23;M
USR-3012;2026-Q1;2010-04-16;M
USR-3013;2026-Q3;2007-09-08;M
USR-3014;2025-Q4;1998-07-03;M
USR-3015;2026-Q2;2005-01-13;F
USR-3016;2026-Q1;1999-01-24;M
USR-3017;2026-Q2;2006-01-03;F
USR-3018;2026-Q3;2005-04-05;F
USR-3019;2025-Q4;2005-03-13;F
USR-3020;2025-Q4;2010-10-18;M
USR-3021;2025-Q3;2007-02-28;F
USR-3022;2026-Q1;2009-10-28;F
USR-3023;2026-Q2;2011-09-01;M
USR-3024;2025-Q4;2005-05-13;M
USR-3025;2025-Q4;2004-07-23;M
USR-3026;2025-Q4;2003-01-03;F
USR-3027;2026-Q1;2011-10-25;F
USR-3028;2026-Q2;2005-03-21;M
USR-3029;2026-Q2;1996-11-26;M
USR-3030;2026-Q2;2007-05-11;M
USR-3031;2026-Q2;2006-10-21;F
USR-3032;2026-Q2;1997-07-21;F
USR-3033;2026-Q2;2005-10-10;M
USR-3034;2025-Q4;2005-02-21;M
USR-3035;2026-Q3;2010-05-04;M
USR-3036;2026-Q2;2010-05-26;M
USR-3037;2025-Q3;2005-03-23;M
USR-3038;2026-Q1;2005-07-16;F
USR-3039;2026-Q2;1996-08-06;M
USR-3040;2026-Q2;1997-08-18;M
USR-3041;2025-Q4;2010-06-07;M
USR-3042;2026-Q1;2005-11-01;M
USR-3043;2025-Q4;1995-04-14;M
USR-3044;2026-Q2;2008-11-02;M
USR-3045;2026-Q1;1996-10-17;M
USR-3046;2026-Q2;2010-03-27;M
USR-3047;2026-Q2;2000-04-07;M
USR-3048;2025-Q3;2009-11-06;M
USR-3049;2026-Q1;2007-08-16;M
USR-3050;2026-Q3;1991-08-25;M
USR-3051;2026-Q1;2011-04-03;F
USR-3052;2026-Q1;2005-01-04;M
USR-3053;2026-Q1;1995-09-26;M
USR-3054;2026-Q2;2003-09-27;M
USR-3055;2026-Q2;2005-09-10;M
USR-3056;2025-Q4;2006-06-23;M
USR-3057;2026-Q2;1995-04-18;M
USR-3058;2025-Q3;2005-05-23;M
USR-3059;2026-Q2;2003-04-03;M
USR-3060;2026-Q2;2008-03-09;M
USR-3061;2026-Q3;2005-04-07;M
USR-3062;2025-Q3;2003-04-20;F
USR-3063;2025-Q4;2006-01-02;M
USR-3064;2026-Q1;2004-10-13;F
USR-3065;2025-Q3;1995-09-12;M
USR-3066;2026-Q2;1995-12-10;M
USR-3067;2026-Q1;2005-03-14;M
USR-3068;2025-Q3;2007-11-12;M
USR-3069;2025-Q4;2008-04-11;M
USR-3070;2026-Q1;2003-09-26;F
USR-3071;2026-Q1;2004-07-04;M
USR-3072;2025-Q4;2010-09-07;M
USR-3073;2026-Q2;2001-12-04;M
USR-3074;2026-Q2;2006-12-21;M
USR-3075;2026-Q3;2004-01-24;F
USR-3076;2026-Q1;2006-05-18;M
USR-3077;2025-Q4;1996-05-25;M
USR-3078;2026-Q3;2008-09-18;M
USR-3079;2026-Q1;2006-07-26;M
USR-3080;2026-Q2;1996-06-08;F
USR-3081;2026-Q2;2005-07-12;M
USR-3082;2025-Q4;2005-10-12;M
USR-3083;2026-Q2;2005-06-16;F
USR-3084;2025-Q4;1997-07-02;F
USR-3085;2026-Q3;2007-08-21;M
USR-3086;2026-Q2;1997-05-07;M
USR-3087;2026-Q1;2005-04-20;M
USR-3088;2026-Q2;2010-10-03;F
USR-3089;2025-Q3;2012-06-07;M
USR-3090;2026-Q2;2004-11-11;F
USR-3091;2026-Q1;2010-01-18;M
USR-3092;2025-Q4;1996-05-24;M
USR-3093;2026-Q2;2006-12-28;M
USR-3094;2026-Q1;2010-10-23;M
USR-3095;2025-Q4;2001-03-01;M
USR-3096;2026-Q1;1996-06-17;M
USR-3097;2026-Q2;1994-01-05;M
USR-3098;2025-Q3;2004-10-12;M
USR-3099;2026-Q1;2009-02-16;M
USR-3100;2025-Q4;2005-12-09;M
USR-3101;2026-Q3;2005-02-20;M
USR-3102;2026-Q1;2005-11-04;M
USR-3103;2025-Q3;2005-06-22;M
USR-3104;2026-Q3;2005-07-24;M
USR-3105;2026-Q3;2009-06-12;F
USR-3106;2026-Q1;2003-10-06;M
USR-3107;2025-Q4;1997-12-13;M
USR-3108;2026-Q3;2005-10-19;M
USR-3109;2025-Q4;2011-01-13;F
USR-3110;2026-Q2;2010-11-19;M
USR-3111;2026-Q1;2005-11-08;M
USR-3112;2026-Q1;2005-11-15;M
USR-3113;2026-Q1;2010-01-25;M
USR-3114;2025-Q3;1996-04-05;M
USR-3115;2025-Q4;2003-05-24;F
USR-3116;2026-Q2;2005-12-06;M
USR-3117;2025-Q4;1997-01-15;M
USR-3118;2026-Q3;2009-10-02;M
USR-3119;2025-Q3;2009-07-10;M
USR-3120;2025-Q3;2007-09-26;M
USR-3121;2026-Q2;2007-08-19;M
USR-3122;2026-Q1;1995-05-25;M
USR-3123;2026-Q3;2005-10-09;F
USR-3124;2026-Q1;2005-10-23;M
USR-3125;2026-Q1;2005-06-28;F
USR-3126;2026-Q2;2011-08-08;M
USR-3127;2026-Q3;1995-02-04;M
USR-3128;2025-Q3;2006-02-06;F
USR-3129;2026-Q1;1991-06-23;M
USR-3130;2025-Q4;2003-10-16;M
USR-3131;2025-Q4;1996-03-22;M
USR-3132;2025-Q3;1996-01-24;M
USR-3133;2025-Q4;2007-10-23;M
USR-3134;2026-Q2;1995-01-20;M
USR-3135;2026-Q2;2009-01-04;M
USR-3136;2026-Q2;2002-05-23;M
USR-3137;2026-Q1;1998-07-23;M
USR-3138;2025-Q4;2003-10-26;M
USR-3139;2026-Q3;2005-02-09;M
USR-3140;2025-Q3;2003-01-02;F
USR-3141;2025-Q4;1998-01-10;M
USR-3142;2025-Q4;2010-07-16;M
USR-3143;2026-Q1;2006-06-18;M
USR-3144;2026-Q1;2006-05-09;M
USR-3145;2026-Q1;2010-11-16;M
USR-3146;2025-Q3;2012-06-14;M
USR-3147;2026-Q1;1996-11-04;F
USR-3148;2026-Q3;2008-03-02;F
USR-3149;2025-Q3;2001-08-09;M
USR-3150;2026-Q2;2004-01-13;M
USR-3151;2025-Q3;1995-11-15;F
USR-3152;2026-Q2;2005-09-27;M
USR-3153;2026-Q3;1997-09-27;M
USR-3154;2026-Q1;2008-01-21;M
USR-3155;2026-Q3;2002-09-25;M
USR-3156;2026-Q3;2005-02-12;M
USR-3157;2026-Q2;1996-08-26;M
USR-3158;2026-Q3;2003-02-23;M
USR-3159;2025-Q3;2006-06-01;M
USR-3160;2025-Q4;2005-12-15;M
USR-3161;2025-Q4;2005-11-04;M
USR-3162;2026-Q2;2006-11-26;M
USR-3163;2025-Q3;1997-09-27;M
USR-3164;2026-Q1;2004-11-24;M
USR-3165;2026-Q3;2003-10-06;F
USR-3166;2025-Q3;2010-10-17;M
USR-3167;2026-Q3;2005-02-07;M
USR-3168;2026-Q2;2007-08-28;M
USR-3169;2026-Q1;2006-03-28;M
USR-3170;2026-Q3;2006-12-16;F
USR-3171;2025-Q3;1996-02-16;M
USR-3172;2026-Q3;2010-11-01;F
USR-3173;2026-Q1;2005-06-03;M
USR-3174;2026-Q1;2006-09-27;M
USR-3175;2025-Q4;2004-08-16;M
USR-3176;2025-Q3;2004-08-14;M
USR-3177;2026-Q2;2005-02-17;F
USR-3178;2026-Q2;2005-06-05;M
USR-3179;2026-Q3;2007-06-26;M
USR-3180;2026-Q1;2004-03-25;M
USR-3181;2025-Q4;2006-08-24;M
USR-3182;2026-Q2;2010-06-15;M
USR-3183;2026-Q2;1993-04-18;M
USR-3184;2026-Q2;2004-02-10;F
USR-3185;2026-Q3;2006-06-01;M
USR-3186;2025-Q4;2009-07-25;F
USR-3187;2026-Q1;1998-04-14;M
USR-3188;2026-Q1;1995-04-04;M
USR-3189;2025-Q4;2005-12-12;M
USR-3190;2025-Q3;2012-02-21;M
USR-3191;2025-Q4;2005-01-09;F
USR-3192;2025-Q4;2005-05-05;M
USR-3193;2026-Q1;2005-11-17;M
USR-3194;2026-Q2;2002-04-06;F
USR-3195;2026-Q1;1995-06-07;M
USR-3196;2026-Q2;2010-02-12;F
USR-3197;2025-Q3;2010-04-28;M
USR-3198;2026-Q1;2003-09-16;M
USR-3199;2026-Q2;1996-06-03;M
USR-3200;2026-Q1;2003-03-12;M
USR-3201;2025-Q4;2005-05-28;M
USR-3202;2026-Q3;1993-01-18;M
USR-3203;2025-Q4;2005-06-24;M
USR-3204;2026-Q2;2005-04-10;M
USR-3205;2026-Q2;2003-07-27;M
USR-3206;2026-Q3;2010-09-12;F
USR-3207;2026-Q3;2011-06-15;M
USR-3208;2026-Q2;2011-10-24;M
USR-3209;2026-Q1;2005-12-03;M
USR-3210;2025-Q3;2004-06-02;M
USR-3211;2026-Q3;2008-02-28;F
USR-3212;2026-Q2;2010-04-19;M
USR-3213;2025-Q3;1997-12-03;M
USR-3214;2025-Q4;2006-10-16;F
USR-3215;2025-Q4;1995-02-05;M
