session_id;user_id;pc_id;date;hours_played;discount_promo
SESS-10000;USR-1314;PC-07;2026-08-27 18:33:00;2;0
SESS-10001;USR-1013;PC-09;2026-08-28 16:17:00;2;0
SESS-10002;;PC-01;2026-08-27 13:01:00;2;1
SESS-10003;USR-1437;PC-36;2026-08-13 20:58:00;3;0
SESS-10004;;PC-30;2026-08-28 21:36:00;3;0
SESS-10005;;PC-24;2026-08-08 19:57:00;2;0
SESS-10006;USR-1043;PC-05;2026-08-11 21:29:00;2;0
SESS-10007;USR-1368;PC-14;2026-08-16 19:01:00;2;0
SESS-10008;;PC-34;2026-08-29 10:04:00;1;0
SESS-10009;USR-1305;PC-30;2026-08-31 21:08:00;4;0
SESS-10010;USR-1148;PC-03;2026-08-16 19:22:00;2;1
SESS-10011;USR-1106;PC-06;2026-08-06 11:15:00;2;0
SESS-10012;USR-1165;PC-26;2026-08-02 15:25:00;3;0
SESS-10013;USR-1139;PC-31;2026-08-01 22:07:00;4;0
SESS-10014;USR-1434;PC-04;2026-08-17 17:34:00;5;0
SESS-10015;USR-1104;PC-37;2026-08-31 12:06:00;2;0
SESS-10016;USR-1337;PC-05;2026-08-18 12:44:00;8;1
SESS-10017;USR-1364;PC-24;2026-08-01 16:54:00;2;1
SESS-10018;USR-1235;PC-02;2026-08-22 10:15:00;1;0
SESS-10019;USR-1406;PC-22;2026-08-20 13:06:00;2;0
SESS-10020;USR-1402;PC-24;2026-08-17 18:54:00;2;0
SESS-10021;;PC-07;2026-08-10 09:39:00;1;0
SESS-10022;;PC-14;2026-08-18 15:11:00;4;0
SESS-10023;USR-1045;PC-21;2026-08-13 09:08:00;2;0
SESS-10024;USR-1129;PC-12;2026-08-11 14:00:00;1;1
SESS-10025;USR-1190;PC-15;2026-08-13 17:30:00;1;0
SESS-10026;USR-1214;PC-33;2026-08-19 15:13:00;2;0
SESS-10027;USR-1436;PC-05;2026-08-15 15:11:00;3;0
SESS-10028;USR-1213;PC-30;2026-08-17 15:12:00;3;0
SESS-10029;USR-1428;PC-21;2026-08-03 10:45:00;2;0
SESS-10030;USR-1409;PC-15;2026-08-03 12:45:00;2;0
SESS-10031;USR-1030;PC-31;2026-08-21 10:56:00;1;0
SESS-10032;USR-1056;PC-29;2026-08-05 11:45:00;1;0
SESS-10033;USR-1388;PC-23;2026-08-27 22:49:00;2;0
SESS-10034;USR-1067;PC-10;2026-08-07 12:07:00;3;1
SESS-10035;USR-1326;PC-10;2026-08-19 09:36:00;4;0
SESS-10036;USR-1030;PC-05;2026-08-28 22:47:00;5;0
SESS-10037;USR-1364;PC-32;2026-08-16 19:45:00;2;1
SESS-10038;USR-1077;PC-25;2026-08-16 10:23:00;1;1
SESS-10039;USR-1280;PC-09;2026-08-26 16:58:00;2;0
SESS-10040;USR-1096;PC-34;2026-08-21 15:03:00;1;0
SESS-10041;USR-1187;PC-13;2026-08-13 09:29:00;2;0
SESS-10042;USR-1307;PC-20;2026-08-15 16:12:00;2;0
SESS-10043;USR-1059;PC-15;2026-08-14 16:07:00;3;1
SESS-10044;USR-1217;PC-28;2026-08-03 12:01:00;5;0
SESS-10045;USR-1110;PC-08;2026-08-23 12:39:00;2;0
SESS-10046;USR-1143;PC-20;2026-08-30 18:02:00;2;1
SESS-10047;USR-1087;PC-19;2026-08-28 15:29:00;3;0
SESS-10048;USR-1012;PC-26;2026-08-01 20:27:00;2;0
SESS-10049;;PC-15;2026-08-15 11:52:00;3;0
SESS-10050;USR-1365;PC-36;2026-08-24 23:34:00;3;0
SESS-10051;USR-1103;PC-29;2026-08-21 22:01:00;4;0
SESS-10052;USR-1282;PC-26;2026-08-06 15:14:00;1;0
SESS-10053;USR-1071;PC-31;2026-08-24 17:28:00;2;1
SESS-10054;;PC-37;2026-08-13 15:00:00;3;0
SESS-10055;USR-1349;PC-36;2026-08-27 10:15:00;2;0
SESS-10056;USR-1079;PC-13;2026-08-03 22:41:00;1;0
SESS-10057;USR-1239;PC-10;2026-08-01 22:37:00;2;0
SESS-10058;USR-1128;PC-08;2026-08-17 16:02:00;4;0
SESS-10059;USR-1048;PC-17;2026-08-15 13:10:00;1;0
SESS-10060;USR-1367;PC-31;2026-08-11 19:41:00;4;1
SESS-10061;USR-1165;PC-30;2026-08-18 22:05:00;1;1
SESS-10062;;PC-02;2026-08-22 10:10:00;3;0
SESS-10063;USR-1223;PC-10;2026-08-10 23:18:00;4;0
SESS-10064;USR-1148;PC-36;2026-08-23 13:42:00;3;0
SESS-10065;USR-1286;PC-11;2026-08-22 14:12:00;2;0
SESS-10066;USR-1402;PC-27;2026-08-11 18:41:00;4;0
SESS-10067;USR-1009;PC-01;2026-08-20 18:24:00;3;0
SESS-10068;USR-1285;PC-36;2026-08-23 22:14:00;2;0
SESS-10069;USR-1095;PC-14;2026-08-27 12:26:00;3;0
SESS-10070;USR-1107;PC-19;2026-08-13 19:46:00;2;1
SESS-10071;USR-1308;PC-22;2026-08-11 10:11:00;1;0
SESS-10072;USR-1025;PC-02;2026-08-25 19:43:00;2;0
SESS-10073;USR-1290;PC-35;2026-08-28 21:37:00;1;0
SESS-10074;USR-1180;PC-08;2026-08-29 17:00:00;5;0
SESS-10075;;PC-01;2026-08-27 12:47:00;2;0
SESS-10076;USR-1416;PC-15;2026-08-09 23:23:00;3;0
SESS-10077;USR-1350;PC-35;2026-08-16 13:22:00;3;1
SESS-10078;;PC-12;2026-08-29 19:34:00;1;0
SESS-10079;USR-1298;PC-33;2026-08-06 23:09:00;2;0
SESS-10080;USR-1143;PC-23;2026-08-06 22:15:00;1;0
SESS-10081;USR-1380;PC-33;2026-08-18 21:03:00;2;0
SESS-10082;USR-1309;PC-03;2026-08-02 18:35:00;2;0
SESS-10083;USR-1353;PC-27;2026-08-05 10:29:00;2;0
SESS-10084;USR-1434;PC-05;2026-08-23 23:04:00;3;1
SESS-10085;USR-1366;PC-10;2026-08-15 10:39:00;2;1
SESS-10086;;PC-25;2026-08-02 10:59:00;3;0
SESS-10087;USR-1104;PC-34;2026-08-28 22:19:00;2;0
SESS-10088;;PC-07;2026-08-02 11:35:00;4;0
SESS-10089;USR-1013;PC-36;2026-08-12 18:31:00;1;0
SESS-10090;USR-1144;PC-24;2026-08-27 12:13:00;1;1
SESS-10091;USR-1273;PC-07;2026-08-25 14:00:00;2;0
SESS-10092;USR-1210;PC-28;2026-08-02 17:36:00;3;0
SESS-10093;USR-1123;PC-04;2026-08-12 18:19:00;2;0
SESS-10094;USR-1200;PC-25;2026-08-07 09:13:00;2;0
SESS-10095;USR-1206;PC-36;2026-08-06 17:14:00;3;0
SESS-10096;USR-1128;PC-29;2026-08-02 09:19:00;2;1
SESS-10097;USR-1279;PC-06;2026-08-26 14:27:00;3;0
SESS-10098;USR-1386;PC-02;2026-08-17 10:26:00;5;1
SESS-10099;USR-1063;PC-13;2026-08-22 21:26:00;3;0
SESS-10100;USR-1059;PC-35;2026-08-13 20:55:00;2;0
SESS-10101;USR-1329;PC-19;2026-08-18 17:53:00;1;0
SESS-10102;;PC-31;2026-08-04 23:41:00;2;1
SESS-10103;USR-1416;PC-12;2026-08-31 10:50:00;1;0
SESS-10104;USR-1432;PC-26;2026-08-03 10:27:00;1;0
SESS-10105;USR-1262;PC-35;2026-08-02 14:53:00;1;0
SESS-10106;USR-1360;PC-10;2026-08-22 17:59:00;3;0
SESS-10107;USR-1066;PC-02;2026-08-19 16:25:00;3;0
SESS-10108;USR-1435;PC-04;2026-08-20 22:19:00;8;1
SESS-10109;USR-1083;PC-36;2026-08-27 21:50:00;1;0
SESS-10110;USR-1380;PC-19;2026-08-15 21:53:00;2;1
SESS-10111;USR-1110;PC-14;2026-08-18 15:35:00;3;0
SESS-10112;USR-1189;PC-27;2026-08-30 16:07:00;3;0
SESS-10113;USR-1265;PC-27;2026-08-17 15:43:00;2;0
SESS-10114;USR-1252;PC-18;2026-08-29 13:18:00;3;0
SESS-10115;USR-1309;PC-17;2026-08-11 17:52:00;3;1
SESS-10116;USR-1282;PC-31;2026-08-08 09:16:00;2;0
SESS-10117;USR-1151;PC-29;2026-08-12 15:41:00;3;1
SESS-10118;USR-1293;PC-17;2026-08-21 10:59:00;2;0
SESS-10119;USR-1391;PC-22;2026-08-13 21:51:00;2;0
SESS-10120;USR-1244;PC-04;2026-08-31 09:10:00;8;0
SESS-10121;USR-1196;PC-18;2026-08-10 23:30:00;1;0
SESS-10122;USR-1046;PC-11;2026-08-17 21:40:00;2;1
SESS-10123;;PC-21;2026-08-11 15:02:00;1;0
SESS-10124;USR-1099;PC-29;2026-08-22 18:37:00;5;0
SESS-10125;USR-1412;PC-23;2026-08-21 12:39:00;3;0
SESS-10126;USR-1434;PC-03;2026-08-02 13:48:00;2;0
SESS-10127;USR-1092;PC-07;2026-08-11 20:46:00;2;0
SESS-10128;USR-1190;PC-03;2026-08-27 14:08:00;1;0
SESS-10129;USR-1029;PC-37;2026-08-26 19:33:00;2;1
SESS-10130;USR-1114;PC-05;2026-08-12 13:18:00;4;0
SESS-10131;USR-1152;PC-14;2026-08-28 10:17:00;4;0
SESS-10132;;PC-32;2026-08-04 09:12:00;1;0
SESS-10133;USR-1210;PC-31;2026-08-12 23:47:00;2;0
SESS-10134;USR-1329;PC-15;2026-08-16 18:04:00;2;0
SESS-10135;USR-1185;PC-26;2026-08-29 14:54:00;3;0
SESS-10136;USR-1109;PC-21;2026-08-31 14:57:00;1;0
SESS-10137;USR-1149;PC-28;2026-08-26 09:20:00;4;1
SESS-10138;USR-1246;PC-24;2026-08-05 18:21:00;1;0
SESS-10139;USR-1375;PC-27;2026-08-27 10:33:00;3;0
SESS-10140;USR-1392;PC-16;2026-08-22 09:01:00;1;1
SESS-10141;;PC-27;2026-08-21 13:12:00;1;1
SESS-10142;USR-1081;PC-13;2026-08-24 20:43:00;2;0
SESS-10143;USR-1301;PC-35;2026-08-27 23:51:00;1;0
SESS-10144;USR-1075;PC-27;2026-08-15 20:23:00;3;0
SESS-10145;USR-1176;PC-34;2026-08-02 16:02:00;1;0
SESS-10146;USR-1157;PC-05;2026-08-07 14:17:00;2;0
SESS-10147;USR-1223;PC-13;2026-08-19 16:34:00;2;0
SESS-10148;USR-1210;PC-19;2026-08-06 15:59:00;1;0
SESS-10149;USR-1102;PC-29;2026-08-14 20:10:00;3;0
SESS-10150;USR-1036;PC-12;2026-08-22 13:27:00;4;0
SESS-10151;USR-1320;PC-04;2026-08-04 14:45:00;5;0
SESS-10152;USR-1057;PC-27;2026-08-14 20:05:00;2;1
SESS-10153;USR-1151;PC-34;2026-08-01 11:05:00;1;0
SESS-10154;USR-1024;PC-23;2026-08-04 21:51:00;2;0
SESS-10155;USR-1164;PC-27;2026-08-23 09:43:00;3;0
SESS-10156;USR-1283;PC-16;2026-08-07 11:57:00;4;1
SESS-10157;USR-1357;PC-17;2026-08-05 22:48:00;2;0
SESS-10158;USR-1344;PC-02;2026-08-23 20:08:00;1;0
SESS-10159;USR-1119;PC-20;2026-08-26 14:20:00;3;1
SESS-10160;USR-1334;PC-14;2026-08-08 23:51:00;2;1
SESS-10161;USR-1393;PC-12;2026-08-31 21:25:00;1;0
SESS-10162;USR-1203;PC-03;2026-08-05 19:36:00;8;1
SESS-10163;USR-1204;PC-21;2026-08-25 23:28:00;2;0
SESS-10164;USR-1387;PC-37;2026-08-25 18:53:00;2;0
SESS-10165;USR-1196;PC-20;2026-08-04 17:26:00;2;0
SESS-10166;USR-1099;PC-09;2026-08-12 13:05:00;3;0
SESS-10167;USR-1320;PC-07;2026-08-01 21:22:00;5;0
SESS-10168;USR-1242;PC-37;2026-08-05 19:02:00;2;0
SESS-10169;USR-1064;PC-05;2026-08-26 17:16:00;2;0
SESS-10170;USR-1002;PC-30;2026-08-06 09:59:00;1;0
SESS-10171;USR-1295;PC-12;2026-08-31 12:54:00;2;0
SESS-10172;USR-1098;PC-19;2026-08-17 09:19:00;1;0
SESS-10173;USR-1079;PC-15;2026-08-18 20:09:00;2;0
SESS-10174;USR-1164;PC-36;2026-08-08 20:59:00;4;0
SESS-10175;USR-1105;PC-05;2026-08-05 22:27:00;1;0
SESS-10176;USR-1093;PC-24;2026-08-29 12:47:00;2;0
SESS-10177;USR-1193;PC-27;2026-08-02 11:39:00;2;1
SESS-10178;USR-1021;PC-19;2026-08-10 10:07:00;4;1
SESS-10179;USR-1046;PC-04;2026-08-29 21:15:00;1;0
SESS-10180;USR-1329;PC-27;2026-08-06 18:31:00;3;0
SESS-10181;USR-1044;PC-20;2026-08-16 09:15:00;2;0
SESS-10182;USR-1405;PC-14;2026-08-27 22:07:00;3;1
SESS-10183;USR-1177;PC-12;2026-08-02 09:38:00;2;1
SESS-10184;USR-1276;PC-19;2026-08-27 22:06:00;2;0
SESS-10185;USR-1385;PC-07;2026-08-06 21:12:00;2;0
SESS-10186;USR-1343;PC-07;2026-08-01 15:34:00;3;1
SESS-10187;USR-1164;PC-20;2026-08-03 17:15:00;5;1
SESS-10188;USR-1023;PC-26;2026-08-04 22:36:00;2;0
SESS-10189;USR-1335;PC-06;2026-08-20 13:52:00;1;0
SESS-10190;;PC-06;2026-08-01 23:52:00;3;1
SESS-10191;USR-1258;PC-36;2026-08-19 22:40:00;3;0
SESS-10192;USR-1079;PC-34;2026-08-01 18:00:00;8;0
SESS-10193;USR-1369;PC-14;2026-08-28 12:43:00;2;0
SESS-10194;USR-1226;PC-37;2026-08-03 16:19:00;1;0
SESS-10195;USR-1292;PC-25;2026-08-08 10:09:00;3;1
SESS-10196;USR-1289;PC-33;2026-08-27 13:50:00;2;0
SESS-10197;USR-1405;PC-19;2026-08-18 16:00:00;1;0
SESS-10198;USR-1175;PC-14;2026-08-30 19:05:00;1;1
SESS-10199;USR-1173;PC-11;2026-08-10 10:44:00;1;0
SESS-10200;USR-1154;PC-20;2026-08-28 23:06:00;1;0
SESS-10201;;PC-36;2026-08-13 11:25:00;2;0
SESS-10202;USR-1059;PC-04;2026-08-30 18:28:00;4;0
SESS-10203;USR-1122;PC-02;2026-08-26 11:46:00;1;0
SESS-10204;USR-1017;PC-11;2026-08-03 15:40:00;2;0
SESS-10205;USR-1299;PC-36;2026-08-19 17:49:00;1;0
SESS-10206;USR-1283;PC-30;2026-08-20 18:35:00;2;0
SESS-10207;USR-1259;PC-34;2026-08-17 12:59:00;1;1
SESS-10208;USR-1388;PC-31;2026-08-06 16:43:00;2;0
SESS-10209;USR-1309;PC-27;2026-08-27 10:05:00;1;0
SESS-10210;USR-1052;PC-23;2026-08-14 20:54:00;2;0
SESS-10211;USR-1071;PC-02;2026-08-29 18:39:00;2;0
SESS-10212;USR-1085;PC-27;2026-08-14 16:41:00;1;0
SESS-10213;USR-1029;PC-34;2026-08-21 21:49:00;8;0
SESS-10214;USR-1073;PC-18;2026-08-23 19:33:00;1;0
SESS-10215;USR-1245;PC-24;2026-08-27 09:40:00;2;1
SESS-10216;USR-1232;PC-25;2026-08-26 18:57:00;2;0
SESS-10217;USR-1255;PC-03;2026-08-18 10:17:00;4;0
SESS-10218;USR-1338;PC-26;2026-08-18 12:40:00;4;0
SESS-10219;USR-1103;PC-03;2026-08-02 22:50:00;2;1
SESS-10220;USR-1309;PC-13;2026-08-29 19:02:00;1;1
SESS-10221;USR-1417;PC-11;2026-08-05 13:25:00;4;0
SESS-10222;USR-1081;PC-13;2026-08-17 16:45:00;3;0
SESS-10223;USR-1406;PC-04;2026-08-04 23:24:00;1;0
SESS-10224;USR-1253;PC-11;2026-08-20 15:24:00;3;0
SESS-10225;USR-1314;PC-03;2026-08-01 20:15:00;3;0
SESS-10226;;PC-20;2026-08-16 21:24:00;3;0
SESS-10227;USR-1128;PC-17;2026-08-03 22:11:00;2;0
SESS-10228;USR-1065;PC-25;2026-08-30 17:55:00;2;0
SESS-10229;USR-1224;PC-10;2026-08-10 22:47:00;4;0
SESS-10230;USR-1233;PC-28;2026-08-06 21:56:00;1;1
SESS-10231;USR-1215;PC-05;2026-08-10 10:57:00;3;0
SESS-10232;USR-1418;PC-17;2026-08-04 14:06:00;3;0
SESS-10233;USR-1084;PC-02;2026-08-10 09:00:00;3;0
