user_id;birth_date;gender;loyalty_tier
USR-2000;2005-02-08;M;Silver
USR-2001;2010-03-21;M;Silver
USR-2002;2008-11-26;M;Silver
USR-2003;2004-04-12;F;Bronze
USR-2004;2010-05-02;M;Silver
USR-2005;2003-12-04;F;Standard
USR-2006;2011-07-10;M;VIP
USR-2007;1996-11-12;M;Bronze
USR-2008;2007-10-17;M;Bronze
USR-2009;2004-06-14;M;Bronze
USR-2010;2005-01-08;M;Gold
USR-2011;2005-02-07;F;Bronze
USR-2012;2005-03-04;M;Standard
USR-2013;2004-07-18;M;Standard
USR-2014;1996-12-13;M;Bronze
USR-2015;2005-01-04;M;Standard
USR-2016;2007-11-26;M;Standard
USR-2017;2003-11-06;M;Standard
USR-2018;2007-03-13;M;Bronze
USR-2019;2003-08-07;M;Standard
USR-2020;2007-10-16;F;Standard
USR-2021;2005-02-24;M;Standard
USR-2022;2005-06-16;M;Bronze
USR-2023;2003-05-25;F;VIP
USR-2024;2004-02-12;M;Bronze
USR-2025;2010-12-16;M;VIP
USR-2026;2010-06-24;F;Bronze
USR-2027;1995-07-08;M;Standard
USR-2028;2004-03-24;M;Standard
USR-2029;2003-01-26;M;Silver
USR-2030;2002-05-27;M;Standard
USR-2031;2006-06-24;M;Standard
USR-2032;2004-08-07;F;Standard
USR-2033;2003-09-20;M;Standard
USR-2034;2008-11-08;M;Bronze
USR-2035;2005-10-13;F;Standard
USR-2036;2005-09-06;M;Standard
USR-2037;2003-04-23;M;Standard
USR-2038;2005-09-06;M;Bronze
USR-2039;2006-05-12;M;Standard
USR-2040;2009-11-28;M;Gold
USR-2041;2007-03-16;M;Bronze
USR-2042;2010-08-27;M;Bronze
USR-2043;2005-06-25;M;Silver
USR-2044;1996-05-11;M;Standard
USR-2045;2005-07-04;M;Bronze
USR-2046;2010-01-19;F;Standard
USR-2047;1996-12-24;F;Bronze
USR-2048;2002-07-21;M;Standard
USR-2049;2006-04-20;F;Bronze
USR-2050;2004-10-21;F;Standard
USR-2051;2005-12-17;M;Bronze
USR-2052;2003-08-05;M;Gold
USR-2053;1997-05-03;M;Bronze
USR-2054;2009-03-09;M;Standard
USR-2055;2005-01-05;M;Bronze
USR-2056;2012-12-07;F;Bronze
USR-2057;1996-07-10;M;Silver
USR-2058;2004-01-22;M;Bronze
USR-2059;2007-09-24;M;Standard
USR-2060;2009-08-01;M;Standard
USR-2061;2005-05-10;M;Bronze
USR-2062;2003-05-09;F;Bronze
USR-2063;2005-01-27;M;Bronze
USR-2064;2007-08-07;F;Standard
USR-2065;2010-02-11;M;Standard
USR-2066;2005-05-19;M;Standard
USR-2067;2001-07-16;M;Bronze
USR-2068;2011-11-14;M;Standard
USR-2069;1993-12-17;M;Standard
USR-2070;2005-03-20;M;Bronze
USR-2071;2006-10-26;F;Standard
USR-2072;2002-02-20;M;Silver
USR-2073;2005-03-23;M;Silver
USR-2074;1997-12-26;M;Standard
USR-2075;2005-05-05;F;Standard
USR-2076;1996-09-28;M;Silver
USR-2077;1996-11-19;M;Bronze
USR-2078;1994-09-02;M;Standard
USR-2079;2005-07-19;M;Standard
USR-2080;2005-11-18;M;Standard
USR-2081;2005-10-22;M;Bronze
USR-2082;2005-06-18;M;Standard
USR-2083;2004-11-02;M;Bronze
USR-2084;2005-11-03;M;Bronze
USR-2085;1997-11-22;M;Standard
USR-2086;2005-08-25;M;Bronze
USR-2087;2005-08-19;F;Gold
USR-2088;2006-05-14;M;Silver
USR-2089;2007-01-08;M;Silver
USR-2090;2010-12-25;F;Gold
USR-2091;2004-01-15;M;Silver
USR-2092;2005-02-19;M;Standard
USR-2093;1994-01-06;F;Bronze
USR-2094;2011-01-06;M;Bronze
USR-2095;1999-05-28;M;Standard
USR-2096;2004-09-26;M;Standard
USR-2097;2006-09-05;M;Bronze
USR-2098;2005-01-14;F;Standard
USR-2099;1994-10-22;M;Standard
USR-2100;2010-06-15;M;Standard
USR-2101;1992-08-24;M;Standard
USR-2102;2004-12-17;M;Bronze
USR-2103;2008-04-07;M;Standard
USR-2104;2007-02-25;F;Bronze
USR-2105;2007-01-19;M;Standard
USR-2106;2006-01-02;M;Standard
USR-2107;2010-09-05;M;Bronze
USR-2108;2005-12-02;M;Bronze
USR-2109;2005-08-02;M;Silver
USR-2110;2011-02-05;M;VIP
USR-2111;2010-11-27;M;Standard
USR-2112;1996-05-16;M;Bronze
USR-2113;2010-02-01;M;Bronze
USR-2114;2009-04-22;M;Silver
USR-2115;2004-03-21;M;Silver
USR-2116;2004-01-22;M;Standard
USR-2117;2009-01-11;M;Bronze
USR-2118;2005-07-11;M;Silver
USR-2119;1998-11-18;F;Standard
USR-2120;2005-01-27;M;Bronze
USR-2121;2006-11-24;M;Silver
USR-2122;2003-05-09;F;VIP
USR-2123;2007-02-03;M;Silver
USR-2124;2005-03-21;M;Standard
USR-2125;2004-01-23;F;Bronze
USR-2126;2003-02-16;M;Standard
USR-2127;2005-09-02;M;Standard
USR-2128;2006-03-07;M;Bronze
USR-2129;2002-11-21;M;Silver
USR-2130;2009-07-06;M;Silver
USR-2131;1994-10-12;M;Gold
USR-2132;2007-08-26;M;Silver
USR-2133;2006-07-22;M;Bronze
USR-2134;1992-01-24;M;Bronze
USR-2135;2004-11-27;M;Silver
USR-2136;1994-04-06;F;Bronze
USR-2137;1994-12-05;M;Silver
USR-2138;2005-05-10;M;Standard
USR-2139;1996-08-16;M;Standard
USR-2140;2004-05-14;M;Gold
USR-2141;2005-02-17;M;Bronze
USR-2142;2005-04-04;F;Standard
USR-2143;2004-01-19;M;Bronze
USR-2144;2005-11-08;M;Bronze
USR-2145;2003-09-25;F;Standard
USR-2146;1999-04-02;F;Standard
USR-2147;2006-08-01;M;Gold
USR-2148;1997-11-27;M;Silver
USR-2149;1997-02-02;M;Standard
USR-2150;2012-12-08;M;Bronze
USR-2151;2002-08-16;M;Bronze
USR-2152;2004-12-24;M;Gold
USR-2153;2007-01-19;M;Standard
USR-2154;2005-12-08;M;Standard
USR-2155;2010-12-03;M;Bronze
USR-2156;2007-04-13;M;Gold
USR-2157;2005-11-18;M;Standard
USR-2158;2010-11-10;M;Standard
USR-2159;2010-10-28;M;Bronze
USR-2160;2005-04-05;M;Bronze
USR-2161;2005-10-07;M;Silver
USR-2162;2012-01-21;M;Bronze
USR-2163;2004-03-18;M;Silver
USR-2164;2009-07-20;M;Bronze
USR-2165;2012-06-21;M;Standard
USR-2166;1996-11-20;M;Bronze
