session_id;user_id;pc_id;pc_zone;date;hours_played;pc_paid;discount_promo;bar_orders
SESS-30000;USR-3041;PC-18;Bootcamp;2026-08-10 15:38:00;1;150;0;[]
SESS-30001;USR-3132;PC-35;Standard;2026-08-30 06:04:00;4;360;1;[]
SESS-30002;USR-3074;PC-15;VIP;2026-08-01 23:50:00;2;400;0;[]
SESS-30003;USR-3043;PC-16;Bootcamp;2026-08-05 08:39:00;3;450;0;[]
SESS-30004;USR-3004;PC-02;PS5;2026-08-22 01:28:00;2;500;0;[]
SESS-30005;USR-3246;PC-34;Bootcamp;2026-08-12 13:23:00;8;1200;0;"[{""item_id"": ""BAR-04"", ""qty"": 2, ""price"": 100}, {""item_id"": ""BAR-05"", ""qty"": 1, ""price"": 70}, {""item_id"": ""BAR-09"", ""qty"": 2, ""price"": 90}]"
SESS-30006;USR-3587;PC-13;Standard;2026-08-11 09:06:00;1;100;0;"[{""item_id"": ""BAR-12"", ""qty"": 3, ""price"": 260}]"
SESS-30007;USR-3476;PC-05;VIP;2026-08-06 04:33:00;2;360;1;"[{""item_id"": ""BAR-01"", ""qty"": 2, ""price"": 120}]"
SESS-30008;;PC-30;Standard;2026-08-01 15:09:00;1;100;0;"[{""item_id"": ""BAR-16"", ""qty"": 1, ""price"": 170}, {""item_id"": ""BAR-12"", ""qty"": 1, ""price"": 260}]"
SESS-30009;USR-3114;PC-04;Bootcamp;2026-08-11 03:48:00;3;405;1;"[{""item_id"": ""BAR-13"", ""qty"": 2, ""price"": 90}, {""item_id"": ""BAR-03"", ""qty"": 1, ""price"": 240}]"
SESS-30010;USR-3213;PC-09;Standard;2026-08-29 08:32:00;4;360;1;"[{""item_id"": ""BAR-02"", ""qty"": 3, ""price"": 200}]"
SESS-30011;USR-3279;PC-17;Standard;2026-08-05 20:55:00;2;200;0;"[{""item_id"": ""BAR-10"", ""qty"": 1, ""price"": 90}]"
SESS-30012;USR-3662;PC-31;Bootcamp;2026-08-10 05:06:00;3;450;0;[]
SESS-30013;USR-3366;PC-44;Standard;2026-08-27 02:41:00;3;300;0;"[{""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}, {""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}]"
SESS-30014;USR-3309;PC-26;Standard;2026-08-04 23:16:00;5;500;0;[]
SESS-30015;USR-3601;PC-36;Standard;2026-08-04 12:50:00;2;180;1;"[{""item_id"": ""BAR-09"", ""qty"": 1, ""price"": 90}, {""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}, {""item_id"": ""BAR-13"", ""qty"": 1, ""price"": 90}]"
SESS-30016;USR-3288;PC-36;Standard;2026-08-18 04:42:00;4;360;1;"[{""item_id"": ""BAR-15"", ""qty"": 1, ""price"": 140}, {""item_id"": ""BAR-09"", ""qty"": 1, ""price"": 90}, {""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}]"
