user_id;cohort;birth_date;gender
USR-3000;2025-Q4;1997-09-14;M
USR-3001;2025-Q3;1997-02-10;M
USR-3002;2026-Q3;2004-03-06;M
USR-3003;2025-Q3;1995-08-06;M
USR-3004;2026-Q1;2012-02-05;M
USR-3005;2025-Q3;2005-12-06;M
USR-3006;2025-Q4;2005-03-06;M
USR-3007;2025-Q4;2011-05-21;M
USR-3008;2026-Q1;2005-04-09;F
USR-3009;2026-Q3;1994-10-27;F
USR-3010;2025-Q3;2005-02-20;M
USR-3011;2025-Q3;2009-04-09;M
USR-3012;2026-Q1;2011-06-23;M
USR-3013;2026-Q1;2012-11-26;M
USR-3014;2026-Q1;2012-03-23;M
USR-3015;2026-Q1;2003-12-10;F
USR-3016;2026-Q1;2003-11-06;M
USR-3017;2026-Q2;2003-10-28;M
USR-3018;2025-Q3;2012-03-19;M
USR-3019;2025-Q4;2008-04-17;M
USR-3020;2026-Q3;2008-06-23;F
USR-3021;2026-Q2;2005-10-02;M
USR-3022;2026-Q2;2003-02-08;M
USR-3023;2026-Q1;2006-05-24;M
USR-3024;2026-Q2;2005-04-26;M
USR-3025;2025-Q4;2010-06-22;M
USR-3026;2026-Q2;1998-10-19;M
USR-3027;2026-Q1;2010-12-24;M
USR-3028;2025-Q3;2007-03-19;M
USR-3029;2026-Q2;2011-09-19;F
USR-3030;2025-Q4;2010-07-03;M
USR-3031;2026-Q2;2002-04-04;M
USR-3032;2025-Q4;2009-12-26;F
USR-3033;2025-Q4;2005-09-04;F
USR-3034;2025-Q4;2012-06-12;M
USR-3035;2026-Q1;1996-07-13;M
USR-3036;2026-Q2;2007-03-05;M
USR-3037;2026-Q1;2006-10-20;M
USR-3038;2025-Q3;2010-10-19;M
USR-3039;2025-Q4;2005-06-15;M
USR-3040;2026-Q1;2005-06-16;M
USR-3041;2026-Q2;2012-02-13;M
USR-3042;2026-Q3;2000-12-09;F
USR-3043;2026-Q1;2007-12-26;F
USR-3044;2026-Q3;2006-07-27;M
USR-3045;2026-Q3;1994-08-10;M
USR-3046;2026-Q1;2006-11-21;M
USR-3047;2025-Q4;2005-11-26;M
USR-3048;2025-Q3;2012-05-06;M
USR-3049;2025-Q3;2006-01-23;M
USR-3050;2026-Q3;2005-04-01;M
USR-3051;2025-Q4;1998-10-19;M
USR-3052;2025-Q4;2003-05-28;M
USR-3053;2026-Q2;2005-11-21;M
USR-3054;2026-Q1;2004-04-22;M
USR-3055;2025-Q3;2005-07-26;M
USR-3056;2026-Q2;2002-05-28;M
USR-3057;2025-Q4;1994-11-04;M
USR-3058;2025-Q3;2008-01-07;M
USR-3059;2026-Q1;2005-04-02;M
