session_id;user_id;pc_id;pc_zone;date;hours_played;pc_paid;discount_promo;bar_orders
SESS-30000;USR-3118;PC-03;Bootcamp;2026-08-21 18:25:00;2;300;0;"[{""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}, {""item_id"": ""BAR-06"", ""qty"": 3, ""price"": 160}]"
SESS-30001;USR-3209;PC-31;Standard;2026-08-01 09:44:00;2;200;0;[]
SESS-30002;USR-3075;PC-02;Standard;2026-08-26 05:50:00;2;180;1;[]
SESS-30003;USR-3158;PC-30;PS5;2026-08-26 16:03:00;2;500;0;[]
SESS-30004;USR-3459;PC-18;Standard;2026-08-12 16:14:00;12;1080;1;"[{""item_id"": ""BAR-14"", ""qty"": 1, ""price"": 110}, {""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}, {""item_id"": ""BAR-09"", ""qty"": 2, ""price"": 90}]"
SESS-30005;USR-3408;PC-05;Bootcamp;2026-08-30 14:17:00;1;150;0;[]
SESS-30006;USR-3430;PC-21;Standard;2026-08-05 06:32:00;1;100;0;[]
SESS-30007;USR-3606;PC-18;VIP;2026-08-31 00:01:00;2;400;0;[]
SESS-30008;USR-3468;PC-05;VIP;2026-08-14 23:05:00;1;200;0;[]
SESS-30009;USR-3511;PC-41;Standard;2026-08-07 14:42:00;3;300;0;[]
SESS-30010;USR-3322;PC-11;Standard;2026-08-28 09:47:00;2;200;0;"[{""item_id"": ""BAR-03"", ""qty"": 1, ""price"": 240}, {""item_id"": ""BAR-06"", ""qty"": 2, ""price"": 160}, {""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}, {""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}]"
SESS-30011;USR-3053;PC-24;VIP;2026-08-28 12:31:00;2;400;0;"[{""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}, {""item_id"": ""BAR-13"", ""qty"": 2, ""price"": 90}]"
SESS-30012;USR-3236;PC-27;Standard;2026-08-07 10:14:00;2;200;0;[]
SESS-30013;USR-3652;PC-02;VIP;2026-08-07 23:22:00;3;600;0;[]
SESS-30014;USR-3076;PC-09;Standard;2026-08-07 05:10:00;3;270;1;"[{""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}]"
SESS-30015;USR-3147;PC-08;Bootcamp;2026-08-30 02:08:00;2;300;0;[]
SESS-30016;USR-3629;PC-19;VIP;2026-08-19 08:48:00;3;600;0;"[{""item_id"": ""BAR-07"", ""qty"": 2, ""price"": 280}]"
SESS-30017;USR-3055;PC-06;VIP;2026-08-06 03:55:00;2;400;0;[]
SESS-30018;USR-3412;PC-23;Standard;2026-08-08 20:13:00;4;400;0;"[{""item_id"": ""BAR-01"", ""qty"": 2, ""price"": 120}]"
SESS-30019;USR-3273;PC-26;Standard;2026-08-15 04:50:00;3;300;0;"[{""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}, {""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}, {""item_id"": ""BAR-08"", ""qty"": 1, ""price"": 70}, {""item_id"": ""BAR-13"", ""qty"": 1, ""price"": 90}]"
SESS-30020;USR-3099;PC-05;Standard;2026-08-13 22:25:00;2;200;0;"[{""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}, {""item_id"": ""BAR-01"", ""qty"": 2, ""price"": 120}, {""item_id"": ""BAR-11"", ""qty"": 2, ""price"": 220}]"
SESS-30021;USR-3268;PC-39;VIP;2026-08-15 23:48:00;3;600;0;"[{""item_id"": ""BAR-01"", ""qty"": 2, ""price"": 120}]"
SESS-30022;USR-3098;PC-38;Standard;2026-08-13 19:20:00;1;100;0;"[{""item_id"": ""BAR-02"", ""qty"": 2, ""price"": 200}, {""item_id"": ""BAR-10"", ""qty"": 1, ""price"": 90}]"
SESS-30023;;PC-17;Standard;2026-08-04 01:46:00;5;450;1;"[{""item_id"": ""BAR-03"", ""qty"": 2, ""price"": 240}, {""item_id"": ""BAR-08"", ""qty"": 2, ""price"": 70}, {""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}]"
