user_id;cohort;birth_date;gender
USR-3000;2026-Q3;1996-08-17;M
USR-3001;2025-Q4;2007-10-11;M
USR-3002;2026-Q1;2010-12-13;M
USR-3003;2025-Q3;2004-10-15;M
USR-3004;2025-Q4;1996-02-23;M
USR-3005;2025-Q3;2007-09-21;M
USR-3006;2026-Q2;2006-03-08;M
USR-3007;2025-Q4;2004-01-06;F
USR-3008;2026-Q2;2010-03-26;F
USR-3009;2025-Q3;2002-06-27;M
USR-3010;2026-Q1;2012-12-05;M
USR-3011;2025-Q3;2009-05-23;M
USR-3012;2026-Q3;2006-07-26;M
USR-3013;2026-Q2;2005-04-22;M
USR-3014;2025-Q3;2005-04-19;M
USR-3015;2026-Q2;2008-11-25;F
USR-3016;2026-Q2;2005-08-06;M
USR-3017;2026-Q2;2010-01-24;F
USR-3018;2025-Q3;2002-12-18;M
USR-3019;2026-Q2;2010-12-24;F
USR-3020;2026-Q2;2004-09-23;M
USR-3021;2025-Q4;2007-08-13;F
USR-3022;2026-Q2;2010-11-21;M
USR-3023;2026-Q2;1998-11-16;M
USR-3024;2026-Q2;2003-06-17;M
USR-3025;2025-Q4;2009-05-20;M
USR-3026;2025-Q3;2005-11-24;M
USR-3027;2025-Q3;2005-12-20;M
USR-3028;2025-Q4;2004-11-12;M
USR-3029;2025-Q4;2005-04-04;M
USR-3030;2025-Q4;2002-10-06;M
USR-3031;2026-Q1;2006-03-16;M
USR-3032;2026-Q2;2009-07-27;M
USR-3033;2026-Q3;1997-09-11;M
USR-3034;2025-Q4;1995-05-05;M
USR-3035;2026-Q3;2010-06-16;M
USR-3036;2025-Q4;1997-01-20;M
USR-3037;2025-Q4;2011-10-24;M
USR-3038;2026-Q2;2006-01-06;M
USR-3039;2026-Q2;2007-12-23;F
USR-3040;2026-Q1;2010-08-26;M
USR-3041;2025-Q3;2007-09-16;M
USR-3042;2025-Q3;2004-12-18;M
USR-3043;2026-Q3;2010-06-27;M
USR-3044;2026-Q2;2010-02-12;M
USR-3045;2026-Q2;2012-12-11;M
USR-3046;2025-Q3;2004-05-22;F
USR-3047;2025-Q4;1996-08-28;M
USR-3048;2026-Q1;2005-07-06;M
USR-3049;2025-Q4;2012-07-19;M
USR-3050;2025-Q4;1994-04-25;M
USR-3051;2025-Q4;2004-05-06;M
USR-3052;2025-Q4;2009-06-27;M
USR-3053;2026-Q3;2007-02-28;M
USR-3054;2026-Q2;2008-07-12;M
USR-3055;2026-Q2;2003-10-14;M
USR-3056;2026-Q2;2010-07-25;M
USR-3057;2026-Q2;2005-03-22;M
USR-3058;2025-Q4;2004-06-20;M
USR-3059;2025-Q4;2008-11-19;M
USR-3060;2026-Q2;2005-09-15;M
USR-3061;2025-Q4;2004-02-08;M
USR-3062;2026-Q1;2009-10-13;M
USR-3063;2026-Q2;1995-12-28;M
USR-3064;2025-Q4;1999-09-05;M
USR-3065;2026-Q1;2005-09-21;M
USR-3066;2025-Q4;1994-07-17;M
USR-3067;2026-Q1;2006-04-24;M
USR-3068;2025-Q3;2004-01-27;M
USR-3069;2025-Q3;2000-07-03;M
USR-3070;2025-Q3;2008-08-14;M
USR-3071;2025-Q3;2010-01-24;M
USR-3072;2025-Q4;1994-11-28;M
USR-3073;2025-Q3;2007-03-17;M
USR-3074;2026-Q1;2002-08-01;M
USR-3075;2026-Q1;2003-08-27;M
USR-3076;2025-Q3;2004-12-08;M
USR-3077;2026-Q1;2005-09-26;M
USR-3078;2026-Q1;2010-08-13;M
USR-3079;2026-Q2;1996-04-22;M
USR-3080;2025-Q3;2011-07-03;M
USR-3081;2026-Q1;2010-10-27;M
USR-3082;2026-Q2;2005-09-10;M
USR-3083;2026-Q1;1996-12-19;F
USR-3084;2026-Q2;2003-10-10;M
USR-3085;2025-Q3;2000-10-20;F
USR-3086;2026-Q2;1995-01-21;M
USR-3087;2025-Q4;2010-01-05;F
USR-3088;2026-Q1;2006-08-20;M
USR-3089;2026-Q3;2005-11-06;M
USR-3090;2026-Q2;2007-11-16;M
USR-3091;2026-Q2;2004-04-15;M
USR-3092;2025-Q3;2005-08-19;F
USR-3093;2025-Q3;2005-08-27;M
USR-3094;2026-Q2;1996-03-04;M
USR-3095;2026-Q3;2010-09-15;M
USR-3096;2026-Q1;2009-02-26;M
USR-3097;2025-Q3;2007-03-17;M
USR-3098;2026-Q3;2006-12-03;M
USR-3099;2025-Q3;1997-04-27;M
USR-3100;2026-Q2;2010-08-16;F
USR-3101;2026-Q3;2012-01-02;F
USR-3102;2026-Q2;1993-09-10;M
USR-3103;2025-Q3;2006-05-13;M
USR-3104;2026-Q2;2003-01-12;M
USR-3105;2026-Q3;2010-05-20;M
USR-3106;2026-Q1;2007-12-14;M
USR-3107;2026-Q3;1995-04-19;M
USR-3108;2026-Q1;2007-07-22;M
USR-3109;2026-Q3;2003-05-28;M
USR-3110;2026-Q1;2010-08-20;M
USR-3111;2026-Q2;2010-12-28;M
