session_id;user_id;pc_id;date;hours_played;discount_promo
SESS-10000;USR-1404;PC-33;2026-08-15 13:40:00;3;0
SESS-10001;USR-1380;PC-35;2026-08-17 12:12:00;2;0
SESS-10002;USR-1168;PC-23;2026-08-09 23:24:00;2;0
SESS-10003;USR-1423;PC-29;2026-08-09 19:04:00;1;0
SESS-10004;USR-1212;PC-36;2026-08-13 18:04:00;3;1
SESS-10005;USR-1310;PC-30;2026-08-06 16:37:00;3;0
SESS-10006;USR-1272;PC-02;2026-08-03 21:55:00;2;1
SESS-10007;USR-1244;PC-34;2026-08-26 17:28:00;8;0
SESS-10008;USR-1185;PC-11;2026-08-18 16:17:00;2;0
SESS-10009;USR-1316;PC-21;2026-08-26 11:35:00;4;0
SESS-10010;USR-1184;PC-30;2026-08-08 15:14:00;3;0
SESS-10011;USR-1391;PC-34;2026-08-07 11:19:00;2;0
SESS-10012;USR-1139;PC-24;2026-08-10 12:30:00;2;0
SESS-10013;;PC-04;2026-08-08 12:15:00;2;0
SESS-10014;USR-1336;PC-16;2026-08-26 19:16:00;2;0
SESS-10015;USR-1424;PC-36;2026-08-08 22:53:00;5;0
SESS-10016;USR-1119;PC-34;2026-08-12 18:35:00;2;1
SESS-10017;USR-1301;PC-23;2026-08-11 17:53:00;5;0
SESS-10018;USR-1046;PC-12;2026-08-06 22:37:00;1;0
SESS-10019;USR-1136;PC-09;2026-08-30 20:08:00;2;0
SESS-10020;USR-1335;PC-17;2026-08-16 16:00:00;1;0
SESS-10021;USR-1370;PC-10;2026-08-23 21:58:00;2;0
SESS-10022;USR-1335;PC-15;2026-08-16 16:54:00;4;0
SESS-10023;USR-1054;PC-33;2026-08-04 10:16:00;5;1
SESS-10024;USR-1334;PC-04;2026-08-03 15:42:00;4;0
SESS-10025;;PC-25;2026-08-18 20:39:00;2;0
SESS-10026;;PC-09;2026-08-21 21:20:00;2;0
SESS-10027;USR-1093;PC-01;2026-08-25 22:42:00;2;0
SESS-10028;USR-1351;PC-05;2026-08-18 10:15:00;2;0
SESS-10029;USR-1227;PC-25;2026-08-19 09:35:00;4;0
