session_id;date;user_id;birth_date;gender;pc_zone;hours_played;extra_bar_spent;total_paid;payment_method;game_played;client_rating;discount_promo
SESS-15623;2026-08-25 13:43:02;USR-1012;2006-05-26;M;Bootcamp;3;0;450;App;Valorant;;0
SESS-13771;2026-08-16 22:07:11;USR-1430;2011-08-06;M;Standard;5;0;500;Card;CS2;;0
SESS-14502;2026-08-05 23:06:27;USR-1498;2023-06-15;M;VIP;-2;4410;2160;Card;CS2;4.0;1
SESS-10379;2026-08-21 02:06:13;USR-1484;2003-06-05;F;Standard;1;0;100;Card;CS2;;0
SESS-11460;2026-08-27 19:51:04;USR-1170;2001-05-18;M;PS5;1;120;250;Card;Dota 2;;0
SESS-13468;2026-08-07 12:52:35;USR-1161;2012-05-09;F;Standard;3;168;270;Card;GTA V;;1
SESS-15846;2026-08-26 19:01:17;USR-1796;2011-02-13;M;Standard;1;0;100;Card;CS2;4.5;0
SESS-15589;2026-08-05 21:40:04;USR-1273;2005-03-24;M;Standard;3;360;300;Card;CS2;3.0;0
SESS-15602;2026-08-20 18:15:20;USR-1058;2006-06-09;M;VIP;2;0;400;App;CS2;;0
SESS-15365;2026-08-25 09:07:34;USR-1055;2007-06-20;M;Standard;12;0;1200;App;Valorant;4.5;0
SESS-11409;2026-08-01 08:11:05;USR-1269;2009-05-19;F;Standard;1;0;100 руб.;Cash;Minecraft;4.0;0
SESS-12309;2026-08-03 10:23:45;USR-1745;1886-09-20;M;Bootcamp;999;650;300;Card;Browser/Work;4.0;0
SESS-13961;2026-08-17 21:11:45;USR-1734;1991-03-22;M;Bootcamp;1;0;150;Card;Browser/Work;;0
SESS-11800;2026-08-11 19:03:27;USR-1489;2011-07-19;M;Standard;5;0;450;Cash;Dota 2;4.5;1
SESS-14313;2026-08-07 00:44:51;USR-1108;2005-03-19;M;Bootcamp;8;1903;1080;Card;Valorant;3.0;1
;2026-08-03 19:32:34;;2010-03-07;M;Standard;1;0;100;App;CS2;;0
SESS-12824;2026-08-07 20:46:26;USR-1002;2012-02-08;M;Standard;4;224;360;App;CS2;;1
SESS-15188;2026-08-11 15:07:51;USR-1115;2001-08-07;M;Standard;2;0;200;Cash;Dota 2;;0
SESS-13898;2026-08-25 21:55:50;USR-1219;2009-03-07;M;Standard;3;0;300;Card;Deadlock;4.5;0
SESS-14217;2026-08-26 17:05:45;USR-1030;2011-05-18;M; Bootcamp ;2;0;180;Card;GTA V;4.0;1
SESS-11948;2026-08-17 22:11:05;USR-1015;2011-11-25;M;PS5;8;0;2000;Cash;Minecraft;;0
SESS-16779;2026-08-11 00:31:16;USR-1140;2006-12-27;F;Standard;3;0;300;Card;Valorant;;0
SESS-12502;2026-08-22 16:27:46;USR-1577;1995-03-03;M;PS5;5;2170;1125;Card;Dota 2;4.5;1
SESS-12292;2026-08-28 21:23:17;USR-1794;2003-09-04;M;Standard;2;0;200;App;CS2;3.0;0
