session_id;date;user_id;birth_date;gender;pc_zone;hours_played;extra_bar_spent;total_paid;payment_method;game_played;client_rating;discount_promo
SESS-17406;2026-08-15 02:11:27;USR-1724;2005-07-24;M;VIP;1;0;200;Card;CS2;;0
SESS-14372;2026-08-11 20:46:01;USR-1767;2003-06-01;F;Standard;2;160;200;Card;Dota 2;;0
SESS-11186;2026-08-07 15:24:55;USR-1743;2005/05/09;F;Standard;3;0;300;Card;Valorant;;0
SESS-12954;2026-08-19 14:20:40;USR-1457;2006-01-24;M;Standard;1;80;100;Card;CS2;;0
SESS-12819;2026-08-23 16:10:23;USR-1109;2005-07-25;M;Bootcamp;8;1554;1080;Card;CS2;4.0;1
SESS-15215;2026-08-25 18:29:45;USR-1504;2009-07-15;F;Standard;5;0;450;App;Minecraft;;1
SESS-16260;2026-08-30 21:41:52;USR-1141;2004-06-21;M;;Standard;1;160;App;Dota 2;;0
SESS-10454;2026-08-13 01:38:21;USR-1684;2012-02-26;M;Bootcamp;8;0;1200;Cash;Valorant;;0
SESS-16763;2026-08-30 19:56:29;USR-1353;2000/12/01;M;Bootcamp;2;540;300;App;Cyberpunk 2077;;0
SESS-12532;2026-08-06 16:45:03;USR-1079;1992-08-27;M;Standard;2;500;200;;Dota 2;4.0;0
SESS-14910;2026-08-10 17:12:32;USR-1672;1996-05-21;M;VIP ;2;650;500;Card;Dota 2;5.0;0
SESS-17118;2026-08-21 17:56:30;USR-1561;2004-02-16;M;VIP;4;470;800;Card;Cyberpunk 2077;5.0;0
SESS-16464;2026-08-01 13:42:48;USR-1045;2012-04-14;M;Standard;2;80;2ОО;Cash;CS2;;0
SESS-13300;2026-08-21 08:56:03;USR-1213;2010-09-15;M;Standard;2;120;200;Card;Minecraft;4.0;0
SESS-10629;2026-08-15 13:02:13;USR-1035;2007-06-25;M;Standard;4;672;360;Card;CS2;;1
SESS-16573;2026-08-02 13:50:52;USR-1143;1999-11-21;M;PS5;1;330;250;Card;Dota 2;;0
SESS-16986;2026-08-30 07:02:20;USR-1095;2007-02-06;M;Bootcamp;1;200;150;App;CS2;4.0;0
SESS-15678;2026-08-12 23:35:48;USR-1220;2010-04-08;M;Standard;8;320;800;Cash;CS2;4.0;0
SESS-15197;2026-08-29 13:13:51;USR-1129;1992-12-05;M;Standard;3;540;300;Card;CS2;;0
SESS-16435;2026-08-22 20:05:28;USR-1067;2002-09-04;M;Standard;2;0;200;Card;Dota 2;;0
SESS-14733;2026-08-01 20:24:47;USR-1015;2009-04-10;M;;Standard;1;80;App;Valorant;;0
SESS-12457;2026-08-20 15:43:32;USR-1031;1997-12-07;M;Bootcamp;3;0;405;Card;CS2;4.5;1
SESS-10249;2026-08-09 12:15:18;USR-1044;2010-12-13;M;Standard;3;0;300;Card;Dota 2;3.0;0
SESS-12922;2026-08-12 16:26:50;USR-1544;2002-10-02;M;Standard;5;0;450;Card;CS2;4.5;1
SESS-13575;2026-08-31 19:57:04;USR-1450;2012-07-11;M;Standard;5;560;450;;Minecraft;5.0;1
SESS-16533;2026-08-05 19:21:08;USR-1613;2006-06-16;M;VIP;1;0;200;Card;CS2;;0
SESS-13747;2026-08-19 17:06:52;USR-1224;2011-07-26;M;VIP;12;0;2400;Card;Valorant;;0
SESS-10682;2026-08-12 00:06:10;USR-1363;2003-02-09;M;Standard;5;800;500;Cash;CS2;;0
SESS-11413;2026-08-25 10:00:59;USR-1442;2005-05-04;M;Standard;3;0;300;Card;Dota 2;;0
SESS-13433;2026-08-29 17:49:29;USR-1646;2002-07-01;F;VIP;2;0;400;Card;CS2;;0
SESS-11100;2026-08-11 19:51:47;USR-1139;2004-05-18;F;Bootcamp;3;440;450;Card;CS2;4.0;0
SESS-14622;2026-08-04 17:11:17;USR-1311;1997-11-04;M; Bootcamp ;2;510;300;App;CS2;;0
SESS-12670;2026-08-22 16:17:29;USR-1071;2004-03-09;M;Bootcamp;3;0;450;App;CS2;;0
SESS-17230;2026-08-27 17:50:28;USR-1160;2010-10-20;M;Bootcamp;1;60;150;Card;CS2;;0
SESS-10283;2026-08-31 11:46:13;USR-1301;2012-06-28;M;Bootcamp;1;0;150;Cash;Dota 2;;0
SESS-12958;2026-08-27 17:03:48;USR-1612;2003-07-15;M;VIP;1;0;200;Card;CS2;4.5;0
SESS-11135;2026-08-09 22:18:50;USR-1054;2011-06-02;Мужской;VIP;5;0;1000;Cash;CS2;5.0;0
SESS-11322;2026-08-02 19:39:40;USR-1375;2007-02-01;M;PS5;4;0;900;Card;Dota 2;;1
SESS-16219;2026-08-30 17:55:58;USR-1289;2006-04-04;F;PS5;4;672;900;Card;CS2;4.0;1
SESS-11627;2026-08-14 01:17:54;USR-1130;2010-05-01;M;Bootcamp;5;400;750;App;Valorant;;0
SESS-11480;2026-08-06 00:36:33;USR-1272;2006-11-14;M;Bootcamp;5;1050;675;Card;Valorant;5.0;1
SESS-15545;2026-08-29 22:14:05;USR-1664;2010-03-22;M;Standard;12;0;1200;App;Valorant;4.0;0
SESS-16385;2026-08-08 09:51:19;USR-1401;2008-06-21;M;PS5;2;240;500;Card;CS2;4.5;0
SESS-16628;2026-08-03 12:54:23;USR-1062;2007-01-12;M;VIP;2;400;400;App;CS2;;0
SESS-16340;2026-08-26 21:01:30;USR-1106;2007-04-02;M;PS5;12;0;3000;App;Minecraft;;0
SESS-12359;2026-08-11 21:54:42;USR-1654;2009-10-21;M;Bootcamp;3;0;450;App;CS2;;0
SESS-10667;2026-08-28 14:17:44;USR-1477;1886-09-20;M;VIP;999;0;600;App;CS2;4.5;0
SESS-15966;2026-08-25 14:56:24;USR-1133;2001-01-26;M;VIP;5;1050;900;Card;Apex Legends;4.0;1
SESS-10760;2026-08-21 21:56:21;USR-1011;2011-08-09;M;Bootcamp;3;0;405;App;Dota 2;5.0;1
SESS-10676;2026-08-12 15:05:32;USR-1298;2012-01-19;M;Standard;5;420;450;Cash;Dota 2;;1
SESS-13379;2026-08-14 16:17:32;USR-1423;1995-12-14;F;Standard;3;540;300;Card;Cyberpunk 2077;;0
SESS-11002;2026-08-24 01:32:00;USR-1377;2003-05-14;M;;Bootcamp;8;2001;Card;CS2;4.0;1
SESS-11301;2026-08-29 17:30:14;USR-1645;2006-02-03;M;VIP;3;630;600;Card;Dota 2;5.0;0
SESS-11054;2026-08-01 21:49:43;USR-1174;2011-12-16;M;Bootcamp;3;0;450;Cash;Minecraft;4.5;0
SESS-14182;2026-08-04 18:43:00;USR-1057;2012-05-25;M;Standard;2;224;180;App;Minecraft;;1
SESS-12001;2026-08-18 17:33:23;USR-1390;1994-04-27;F;Standard;4;480;400;App;PUBG;4.0;0
SESS-17209;2026-08-03 08:17:31;USR-1798;2009-01-11;M;Standard;3;0;300;App;CS2;2.0;0
SESS-14748;2026-08-28 14:42:20;USR-1404;1994-04-24;M;Bootcamp;2;0;300;Card;Cyberpunk 2077;4.5;0
SESS-16452;2026-08-01 17:19:12;USR-1154;2006-01-12;M;Standard;2;160;200;App;PUBG;4.0;0
SESS-14316;2026-08-28 22:49:05;USR-1650;1992-10-04;M;VIP;12;0;2400;Card;CS2;4.0;0
SESS-13697;2026-08-02 16:48:07;USR-1124;2009-11-07;M;Standard;3;0;270;Cash;Minecraft;5.0;1
