user_id;cohort;birth_date;gender
USR-3000;2025-Q4;2003-09-27;M
USR-3001;2026-Q2;2006-05-21;M
USR-3002;2026-Q1;2012-02-25;M
USR-3003;2025-Q3;2010-12-21;M
USR-3004;2025-Q3;1996-12-01;M
USR-3005;2026-Q1;2002-12-18;M
USR-3006;2025-Q4;2008-04-07;M
USR-3007;2026-Q1;2006-04-10;M
USR-3008;2026-Q3;2005-04-25;F
USR-3009;2026-Q2;2005-11-13;F
USR-3010;2025-Q3;2006-10-19;M
USR-3011;2025-Q4;2010-01-19;M
USR-3012;2026-Q1;2010-12-15;M
USR-3013;2026-Q1;2003-06-01;M
USR-3014;2025-Q4;1995-10-15;F
USR-3015;2026-Q1;1990-04-08;M
USR-3016;2026-Q2;2005-05-22;F
USR-3017;2026-Q1;2002-08-16;M
USR-3018;2025-Q3;2005-01-17;M
USR-3019;2026-Q3;2005-02-17;M
USR-3020;2026-Q1;1993-11-18;M
USR-3021;2026-Q1;2008-01-07;F
USR-3022;2025-Q3;2009-04-27;M
USR-3023;2025-Q4;2004-09-05;F
USR-3024;2025-Q3;2005-01-03;M
USR-3025;2026-Q2;2012-11-05;M
USR-3026;2025-Q4;2005-08-26;M
USR-3027;2025-Q4;2010-08-10;F
USR-3028;2026-Q1;2010-02-23;M
USR-3029;2026-Q3;2004-03-01;M
USR-3030;2025-Q4;1995-12-27;M
USR-3031;2026-Q2;2006-08-13;M
USR-3032;2025-Q4;2009-01-18;M
USR-3033;2025-Q3;2010-06-13;M
USR-3034;2025-Q3;2005-07-18;M
USR-3035;2026-Q3;1997-03-17;M
USR-3036;2026-Q1;2003-01-11;M
USR-3037;2026-Q2;2005-09-10;M
USR-3038;2026-Q2;2005-06-08;M
USR-3039;2026-Q1;2004-03-26;M
USR-3040;2026-Q1;2007-02-02;M
USR-3041;2025-Q3;2005-09-08;M
USR-3042;2025-Q4;2011-02-11;F
USR-3043;2026-Q2;2011-01-13;F
USR-3044;2026-Q3;2006-01-09;M
USR-3045;2026-Q2;2008-06-01;M
USR-3046;2026-Q1;1996-07-07;M
USR-3047;2026-Q3;2010-12-07;M
USR-3048;2025-Q3;2012-12-10;M
USR-3049;2025-Q4;2010-05-21;M
USR-3050;2026-Q1;2005-09-19;F
USR-3051;2026-Q2;2009-03-01;M
USR-3052;2026-Q1;2005-08-23;M
USR-3053;2025-Q3;1999-09-06;M
USR-3054;2026-Q1;2009-06-06;M
USR-3055;2025-Q3;2012-10-26;M
USR-3056;2026-Q1;2010-03-02;M
USR-3057;2026-Q1;1997-06-11;M
USR-3058;2025-Q4;1998-04-08;F
USR-3059;2026-Q1;2006-01-26;M
USR-3060;2026-Q3;2012-09-21;F
USR-3061;2026-Q1;2006-08-18;M
USR-3062;2026-Q1;2006-07-11;M
USR-3063;2026-Q2;1994-11-17;M
USR-3064;2025-Q4;2006-02-17;M
USR-3065;2026-Q2;2004-10-17;M
USR-3066;2026-Q2;2003-10-13;M
USR-3067;2026-Q2;2002-07-13;M
USR-3068;2025-Q3;1996-06-22;M
USR-3069;2026-Q1;1996-01-02;F
USR-3070;2025-Q3;2010-03-23;F
USR-3071;2025-Q3;1992-01-23;M
USR-3072;2025-Q4;2005-09-04;M
USR-3073;2025-Q4;2012-09-10;M
USR-3074;2025-Q3;2004-10-21;M
USR-3075;2025-Q4;2004-08-13;M
USR-3076;2026-Q3;2012-03-04;M
USR-3077;2026-Q3;2005-07-12;M
USR-3078;2026-Q1;2006-11-28;M
