session_id;user_id;pc_id;date;hours_played;discount_promo
SESS-10000;USR-1116;PC-11;2026-08-23 13:09:00;2;0
SESS-10001;USR-1168;PC-02;2026-08-16 11:11:00;2;0
SESS-10002;USR-1253;PC-14;2026-08-22 12:33:00;1;0
SESS-10003;USR-1284;PC-29;2026-08-23 16:56:00;3;0
SESS-10004;USR-1070;PC-25;2026-08-01 16:16:00;2;0
SESS-10005;USR-1304;PC-23;2026-08-21 15:53:00;4;0
SESS-10006;USR-1344;PC-03;2026-08-06 11:38:00;5;0
SESS-10007;USR-1295;PC-15;2026-08-15 22:13:00;2;0
SESS-10008;USR-1163;PC-02;2026-08-29 13:16:00;2;0
SESS-10009;USR-1267;PC-27;2026-08-07 17:49:00;2;1
SESS-10010;USR-1028;PC-24;2026-08-22 12:32:00;2;0
SESS-10011;USR-1087;PC-19;2026-08-19 11:46:00;2;0
SESS-10012;;PC-20;2026-08-30 20:32:00;3;1
SESS-10013;USR-1381;PC-20;2026-08-17 12:35:00;3;0
SESS-10014;;PC-03;2026-08-07 20:27:00;1;1
SESS-10015;USR-1095;PC-13;2026-08-29 18:07:00;1;0
SESS-10016;USR-1438;PC-34;2026-08-30 19:22:00;2;1
SESS-10017;USR-1414;PC-22;2026-08-24 14:55:00;2;0
SESS-10018;USR-1383;PC-12;2026-08-25 15:54:00;4;0
SESS-10019;USR-1235;PC-05;2026-08-14 17:49:00;2;0
SESS-10020;USR-1373;PC-28;2026-08-07 14:05:00;2;0
SESS-10021;;PC-12;2026-08-13 14:52:00;4;0
SESS-10022;USR-1151;PC-12;2026-08-09 23:55:00;8;0
SESS-10023;USR-1353;PC-25;2026-08-06 23:31:00;2;0
SESS-10024;USR-1051;PC-12;2026-08-21 10:29:00;1;0
SESS-10025;USR-1021;PC-12;2026-08-21 14:49:00;2;0
SESS-10026;USR-1111;PC-13;2026-08-26 17:08:00;1;0
SESS-10027;USR-1378;PC-34;2026-08-30 10:20:00;3;0
SESS-10028;USR-1029;PC-34;2026-08-21 21:03:00;2;1
SESS-10029;USR-1344;PC-29;2026-08-03 13:51:00;2;0
SESS-10030;USR-1327;PC-25;2026-08-13 15:40:00;3;0
SESS-10031;USR-1018;PC-10;2026-08-10 21:26:00;3;1
SESS-10032;USR-1221;PC-08;2026-08-01 21:21:00;2;0
SESS-10033;USR-1289;PC-20;2026-08-12 22:55:00;2;1
SESS-10034;USR-1325;PC-34;2026-08-11 22:35:00;1;1
SESS-10035;USR-1375;PC-16;2026-08-09 09:12:00;3;0
SESS-10036;USR-1340;PC-07;2026-08-27 10:22:00;3;0
SESS-10037;USR-1096;PC-23;2026-08-03 22:12:00;3;0
SESS-10038;USR-1086;PC-31;2026-08-24 17:36:00;1;0
SESS-10039;USR-1093;PC-32;2026-08-04 17:50:00;3;0
SESS-10040;;PC-13;2026-08-26 18:22:00;4;0
SESS-10041;USR-1204;PC-16;2026-08-13 23:18:00;1;0
SESS-10042;USR-1086;PC-10;2026-08-12 12:52:00;3;0
SESS-10043;USR-1388;PC-02;2026-08-16 10:06:00;2;0
SESS-10044;USR-1254;PC-18;2026-08-21 16:50:00;2;0
SESS-10045;USR-1434;PC-34;2026-08-29 14:58:00;3;0
SESS-10046;USR-1228;PC-14;2026-08-26 12:31:00;4;0
SESS-10047;USR-1023;PC-10;2026-08-03 22:11:00;2;0
SESS-10048;USR-1312;PC-05;2026-08-28 23:07:00;5;1
SESS-10049;;PC-11;2026-08-04 19:11:00;5;0
SESS-10050;USR-1124;PC-09;2026-08-08 17:22:00;2;1
SESS-10051;USR-1298;PC-06;2026-08-31 16:25:00;1;0
SESS-10052;USR-1085;PC-09;2026-08-25 12:40:00;4;0
SESS-10053;USR-1044;PC-32;2026-08-21 14:35:00;2;0
SESS-10054;USR-1038;PC-11;2026-08-04 17:33:00;2;0
SESS-10055;USR-1245;PC-04;2026-08-27 20:01:00;3;0
SESS-10056;USR-1337;PC-05;2026-08-07 23:16:00;5;0
SESS-10057;USR-1190;PC-29;2026-08-08 14:43:00;2;1
SESS-10058;USR-1156;PC-37;2026-08-28 15:20:00;5;1
SESS-10059;;PC-16;2026-08-28 11:29:00;2;1
SESS-10060;USR-1119;PC-37;2026-08-20 13:16:00;1;0
SESS-10061;USR-1401;PC-21;2026-08-16 23:41:00;3;0
SESS-10062;USR-1009;PC-04;2026-08-28 14:09:00;2;1
SESS-10063;USR-1068;PC-33;2026-08-14 23:54:00;2;0
SESS-10064;USR-1070;PC-13;2026-08-22 17:44:00;4;0
SESS-10065;USR-1169;PC-20;2026-08-18 17:23:00;3;0
SESS-10066;USR-1260;PC-13;2026-08-01 20:25:00;1;0
SESS-10067;USR-1194;PC-03;2026-08-28 18:22:00;3;0
SESS-10068;USR-1170;PC-13;2026-08-22 11:46:00;3;0
SESS-10069;USR-1439;PC-25;2026-08-13 10:40:00;4;1
SESS-10070;USR-1115;PC-06;2026-08-24 22:01:00;3;0
SESS-10071;USR-1205;PC-14;2026-08-04 19:25:00;5;0
SESS-10072;USR-1173;PC-34;2026-08-17 15:51:00;2;0
SESS-10073;USR-1151;PC-20;2026-08-19 19:24:00;3;1
SESS-10074;USR-1083;PC-02;2026-08-14 22:41:00;4;1
SESS-10075;USR-1256;PC-16;2026-08-19 09:22:00;2;0
SESS-10076;USR-1015;PC-30;2026-08-22 19:37:00;3;1
SESS-10077;USR-1365;PC-25;2026-08-20 17:58:00;3;0
SESS-10078;USR-1283;PC-15;2026-08-21 09:09:00;1;0
SESS-10079;USR-1267;PC-25;2026-08-27 13:24:00;3;1
SESS-10080;USR-1146;PC-09;2026-08-27 10:57:00;1;0
SESS-10081;USR-1103;PC-35;2026-08-16 22:19:00;4;0
SESS-10082;USR-1325;PC-19;2026-08-02 12:02:00;1;0
SESS-10083;USR-1368;PC-04;2026-08-26 17:53:00;1;1
SESS-10084;USR-1234;PC-29;2026-08-14 13:31:00;1;0
SESS-10085;USR-1278;PC-17;2026-08-14 19:03:00;1;1
SESS-10086;USR-1308;PC-08;2026-08-08 09:48:00;4;0
SESS-10087;USR-1387;PC-12;2026-08-28 20:29:00;3;0
SESS-10088;USR-1011;PC-06;2026-08-10 19:31:00;2;1
