user_id;cohort;birth_date;gender
USR-3000;2025-Q4;2003-03-24;M
USR-3001;2026-Q1;2006-05-17;M
USR-3002;2025-Q3;1996-02-04;M
USR-3003;2025-Q4;2008-09-04;M
USR-3004;2025-Q3;1995-01-19;M
USR-3005;2025-Q3;2009-04-11;M
USR-3006;2025-Q3;2000-04-17;M
USR-3007;2026-Q3;2002-11-25;M
USR-3008;2025-Q4;2010-09-15;M
USR-3009;2026-Q1;1995-10-19;M
USR-3010;2026-Q3;2007-07-22;M
USR-3011;2025-Q4;2003-08-03;M
USR-3012;2026-Q2;1996-11-07;M
USR-3013;2026-Q3;2008-02-14;F
USR-3014;2026-Q2;2005-12-20;M
USR-3015;2026-Q1;2007-03-04;F
USR-3016;2025-Q4;2007-04-27;M
USR-3017;2025-Q4;2010-06-18;M
USR-3018;2026-Q3;2011-01-15;M
USR-3019;2026-Q2;2005-10-23;M
USR-3020;2026-Q2;2004-01-26;M
USR-3021;2025-Q3;2012-01-12;M
USR-3022;2025-Q3;2005-09-01;M
USR-3023;2025-Q4;1994-10-03;M
USR-3024;2025-Q4;2008-01-15;M
USR-3025;2026-Q2;2005-06-07;M
USR-3026;2026-Q3;2005-03-26;M
USR-3027;2026-Q1;2005-09-03;M
USR-3028;2026-Q3;1996-09-02;M
USR-3029;2025-Q4;1998-06-03;M
USR-3030;2026-Q1;2003-01-12;F
USR-3031;2026-Q1;1997-09-14;M
USR-3032;2026-Q1;2011-01-11;M
USR-3033;2026-Q3;2005-09-26;M
USR-3034;2026-Q3;2012-04-11;M
USR-3035;2026-Q2;1996-05-02;M
USR-3036;2026-Q2;2006-06-22;M
USR-3037;2026-Q1;1999-04-04;M
USR-3038;2025-Q4;2007-01-03;M
USR-3039;2025-Q3;2012-12-03;M
USR-3040;2026-Q2;2004-04-22;M
USR-3041;2025-Q3;2004-06-21;M
USR-3042;2026-Q1;2007-02-12;M
USR-3043;2026-Q1;2003-08-25;M
USR-3044;2026-Q3;1994-10-12;M
USR-3045;2025-Q4;1994-08-23;M
USR-3046;2025-Q3;2010-03-06;M
USR-3047;2025-Q4;2010-01-26;M
USR-3048;2025-Q4;2006-09-16;M
USR-3049;2025-Q3;2005-07-08;M
USR-3050;2026-Q2;2005-12-12;M
USR-3051;2025-Q3;2010-10-03;M
USR-3052;2025-Q3;1994-10-13;M
USR-3053;2026-Q1;2005-04-06;M
USR-3054;2026-Q3;2009-02-23;M
USR-3055;2026-Q3;1996-09-02;M
USR-3056;2025-Q3;1996-06-22;M
USR-3057;2026-Q1;2004-04-21;M
USR-3058;2026-Q2;2007-09-25;M
USR-3059;2026-Q1;2005-04-07;F
USR-3060;2026-Q1;2005-10-10;M
USR-3061;2025-Q3;2004-12-01;M
USR-3062;2026-Q1;2005-11-23;F
USR-3063;2025-Q3;2005-01-09;M
USR-3064;2026-Q2;1998-10-15;F
USR-3065;2025-Q4;2006-05-21;M
USR-3066;2026-Q3;2007-01-20;M
USR-3067;2026-Q2;2008-03-23;M
USR-3068;2025-Q4;2010-03-09;M
USR-3069;2026-Q2;1996-07-02;M
USR-3070;2026-Q1;2004-05-27;F
USR-3071;2025-Q3;1999-01-09;M
USR-3072;2025-Q3;2006-06-12;M
USR-3073;2025-Q4;2006-05-01;M
USR-3074;2026-Q2;2009-01-16;M
