session_id;user_id;pc_id;pc_zone;date;hours_played;pc_paid;discount_promo;bar_orders
SESS-30000;USR-3048;PC-28;Standard;2026-08-04 13:28:00;2;200;0;"[{""item_id"": ""BAR-05"", ""qty"": 1, ""price"": 70}, {""item_id"": ""BAR-01"", ""qty"": 2, ""price"": 120}]"
SESS-30001;USR-3429;PC-07;Standard;2026-08-31 23:52:00;4;400;0;[]
SESS-30002;USR-3402;PC-36;Standard;2026-08-08 18:34:00;1;100;0;"[{""item_id"": ""BAR-10"", ""qty"": 2, ""price"": 90}]"
SESS-30003;USR-3045;PC-16;Standard;2026-08-05 11:59:00;2;200;0;"[{""item_id"": ""BAR-11"", ""qty"": 1, ""price"": 220}, {""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}]"
SESS-30004;USR-3555;PC-12;Bootcamp;2026-08-02 08:32:00;1;150;0;[]
SESS-30005;USR-3566;PC-20;Standard;2026-08-18 14:13:00;8;800;0;"[{""item_id"": ""BAR-13"", ""qty"": 1, ""price"": 90}, {""item_id"": ""BAR-04"", ""qty"": 1, ""price"": 100}]"
SESS-30006;USR-3617;PC-20;Bootcamp;2026-08-07 00:05:00;3;450;0;"[{""item_id"": ""BAR-02"", ""qty"": 2, ""price"": 200}]"
SESS-30007;USR-3051;PC-15;VIP;2026-08-09 03:34:00;1;200;0;[]
SESS-30008;USR-3584;PC-02;Standard;2026-08-20 09:26:00;3;300;0;"[{""item_id"": ""BAR-04"", ""qty"": 2, ""price"": 100}]"
SESS-30009;USR-3092;PC-06;VIP;2026-08-28 11:47:00;2;400;0;"[{""item_id"": ""BAR-01"", ""qty"": 1, ""price"": 120}]"
SESS-30010;USR-3204;PC-32;Bootcamp;2026-08-10 15:08:00;5;675;1;"[{""item_id"": ""BAR-09"", ""qty"": 1, ""price"": 90}]"
SESS-30011;USR-3463;PC-09;Standard;2026-08-11 18:20:00;2;200;0;[]
SESS-30012;USR-3547;PC-27;Standard;2026-08-10 07:27:00;3;270;1;"[{""item_id"": ""BAR-10"", ""qty"": 1, ""price"": 90}]"
SESS-30013;USR-3287;PC-06;VIP;2026-08-07 23:48:00;4;800;0;"[{""item_id"": ""BAR-16"", ""qty"": 1, ""price"": 170}, {""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}, {""item_id"": ""BAR-11"", ""qty"": 1, ""price"": 220}]"
SESS-30014;USR-3656;PC-27;Bootcamp;2026-08-19 15:00:00;2;300;0;"[{""item_id"": ""BAR-08"", ""qty"": 1, ""price"": 70}]"
SESS-30015;USR-3457;PC-01;Bootcamp;2026-08-31 08:24:00;1;150;0;"[{""item_id"": ""BAR-07"", ""qty"": 2, ""price"": 280}]"
SESS-30016;USR-3242;PC-02;Bootcamp;2026-08-15 01:51:00;2;300;0;[]
SESS-30017;USR-3183;PC-31;Bootcamp;2026-08-24 19:45:00;2;300;0;"[{""item_id"": ""BAR-01"", ""qty"": 2, ""price"": 120}, {""item_id"": ""BAR-08"", ""qty"": 1, ""price"": 70}]"
SESS-30018;USR-3043;PC-08;Bootcamp;2026-08-26 12:29:00;2;300;0;"[{""item_id"": ""BAR-15"", ""qty"": 1, ""price"": 140}, {""item_id"": ""BAR-04"", ""qty"": 2, ""price"": 100}]"
SESS-30019;USR-3037;PC-30;Standard;2026-08-11 05:20:00;12;1080;1;"[{""item_id"": ""BAR-07"", ""qty"": 2, ""price"": 280}, {""item_id"": ""BAR-11"", ""qty"": 2, ""price"": 220}, {""item_id"": ""BAR-10"", ""qty"": 1, ""price"": 90}]"
SESS-30020;USR-3672;PC-19;Standard;2026-08-23 14:26:00;2;200;0;"[{""item_id"": ""BAR-01"", ""qty"": 3, ""price"": 120}, {""item_id"": ""BAR-16"", ""qty"": 1, ""price"": 170}]"
SESS-30021;USR-3249;PC-33;VIP;2026-08-08 20:41:00;3;600;0;"[{""item_id"": ""BAR-06"", ""qty"": 2, ""price"": 160}]"
SESS-30022;USR-3416;PC-44;Bootcamp;2026-08-29 12:25:00;2;300;0;"[{""item_id"": ""BAR-13"", ""qty"": 2, ""price"": 90}, {""item_id"": ""BAR-02"", ""qty"": 1, ""price"": 200}]"
SESS-30023;USR-3290;PC-30;Standard;2026-08-02 10:56:00;1;100;0;"[{""item_id"": ""BAR-03"", ""qty"": 1, ""price"": 240}]"
SESS-30024;USR-3614;PC-11;Bootcamp;2026-08-13 07:07:00;2;300;0;"[{""item_id"": ""BAR-06"", ""qty"": 1, ""price"": 160}, {""item_id"": ""BAR-15"", ""qty"": 2, ""price"": 140}]"
