user_id;cohort;birth_date;gender
USR-3000;2026-Q1;2005-08-20;F
USR-3001;2025-Q3;1998-12-01;M
USR-3002;2026-Q2;1995-01-19;F
USR-3003;2026-Q1;2004-01-03;M
USR-3004;2026-Q3;2005-03-12;M
USR-3005;2026-Q3;2004-08-13;M
USR-3006;2026-Q3;1996-06-07;F
USR-3007;2026-Q1;2010-01-01;F
USR-3008;2026-Q2;2005-02-11;M
USR-3009;2025-Q3;2012-08-24;M
USR-3010;2025-Q3;2004-09-19;F
USR-3011;2026-Q2;2010-12-05;M
USR-3012;2026-Q1;1997-03-24;F
USR-3013;2026-Q2;2004-11-03;M
USR-3014;2026-Q3;2006-09-27;F
USR-3015;2026-Q3;1996-10-26;F
USR-3016;2025-Q4;1996-02-28;M
USR-3017;2026-Q2;2009-10-14;M
USR-3018;2026-Q1;2007-03-18;M
USR-3019;2026-Q1;2005-08-14;M
USR-3020;2026-Q1;2007-09-05;M
USR-3021;2026-Q3;1997-12-11;M
USR-3022;2026-Q1;2002-01-01;M
USR-3023;2026-Q1;2004-06-16;M
USR-3024;2025-Q3;2011-04-19;M
USR-3025;2026-Q3;1997-06-10;M
USR-3026;2026-Q2;1998-06-20;M
USR-3027;2026-Q3;2009-04-01;M
USR-3028;2025-Q4;2005-12-15;M
USR-3029;2026-Q1;2010-08-16;M
USR-3030;2026-Q1;1997-05-17;M
USR-3031;2026-Q3;2011-05-05;M
USR-3032;2025-Q3;1996-10-10;M
USR-3033;2026-Q1;2005-04-10;M
USR-3034;2025-Q4;2010-01-14;M
USR-3035;2025-Q4;1996-07-02;M
USR-3036;2026-Q1;2004-09-19;M
USR-3037;2025-Q3;2005-10-28;M
USR-3038;2026-Q1;2012-03-11;M
USR-3039;2025-Q3;2007-09-14;M
USR-3040;2026-Q2;2008-11-18;M
USR-3041;2025-Q3;2008-09-03;M
USR-3042;2026-Q2;1999-10-27;M
USR-3043;2025-Q4;2009-04-11;M
USR-3044;2025-Q3;1996-12-25;F
USR-3045;2025-Q3;1994-04-12;M
USR-3046;2026-Q1;2005-01-19;M
