session_id;date;user_id;birth_date;gender;pc_zone;hours_played;extra_bar_spent;total_paid;payment_method;game_played;client_rating;discount_promo
SESS-13716;2026-08-08 19:26:58;USR-1796;1998-12-28;F;VIP;4;0;800;App;GTA V;;0
SESS-11078;2026-08-14 13:22:40;USR-1655;2007-10-26;M;Standard;3;240;300;App;CS2;4.5;0
SESS-11312;2026-08-07 18:09:16;USR-1058;2011-10-04;M;Standard;1;60;100;App;Valorant;4.5;0
SESS-10959;2026-08-01 15:51:39;USR-1429;2011-06-24;F;Standard;3;0;300;Cash;Dota 2;4.5;0
SESS-11477;2026-08-08 23:28:39;USR-1018;2008-06-09;M;Standard;8;1280;800;App;Apex Legends;;0
SESS-12987;2026-08-17 01:56:12;USR-1074;2005-10-07;M;VIP;5;1330;900;App;CS2;4.5;1
SESS-10752;2026-08-11 20:45:50;USR-1793;2006-09-24;M;PS5;2;240;500;Card;Valorant;4.0;0
SESS-10160;2026-08-13 22:43:36;USR-1052;2006-06-27;M;Standard;8;0;800;Cash;PUBG;4.5;0
SESS-14059;2026-08-19 19:18:11;USR-1295;2006-10-15;F;Standard;5;0;450;Cash;Dota 2;;1
SESS-14676;2026-08-04 16:39:22;USR-1066;2002-11-13;M;Standard;2;320;200;App;Dota 2;;0
SESS-13586;2026-08-31 12:51:58;USR-1153;2006-01-07;M;Bootcamp;2;240;300;Card;Deadlock;4.5;0
SESS-15107;2026-08-21 15:34:44;USR-1558;2005-02-23;M;Bootcamp;2;658;270;Card;Deadlock;;1
SESS-10491;2026-08-15 11:22:22;USR-1276;1994-09-21;M;Standard;3;360;300;Card;Cyberpunk 2077;5.0;0
SESS-14660;2026-08-11 12:32:11;USR-1236;2006-05-11;M;Standard;8;1344;720;Card;CS2;;1
SESS-14352;2026-08-05 18:59:39;USR-1730;2003-04-15;M;VIP;1;230;200;App;Valorant;;0
SESS-12186;2026-08-27 14:40:13;USR-1338;2004-01-16;M;Standard;4;320;400;Card;CS2;;0
SESS-13406;2026-08-05 14:17:08;USR-1183;2005-08-04;M;Standard;1;0;100;Card;Dota 2;;0
SESS-10001;2026-08-01 17:43:18;USR-1463;2007-09-18;M;Bootcamp;2;310;300;Card;Deadlock;;0
SESS-12672;2026-08-09 15:55:53;USR-1088;2007-06-21;F;Bootcamp;2;0;300;Card;CS2;;0
SESS-15093;2026-08-05 16:30:23;USR-1750;2008-06-22;M;Standard;3;360;300;Card;Deadlock;;0
SESS-12347;2026-08-16 13:32:12;USR-1001;2003-05-28;M;VIP;1;270;200;Card;Dota 2;;0
SESS-11141;2026-08-21 15:24:26;USR-1564;2003-03-04;M;PS5;2;160;500;Card;Dota 2;5.0;0
SESS-13941;2026-08-22 15:00:57;USR-1586;2007-04-21;M;Standard;2;240;200;Card;Dota 2;;0
SESS-13927;2026-08-04 18:18:32;USR-1505;2006-04-03;F;Bootcamp;1;0;150;App;Apex Legends;;0
SESS-12638;2026-08-01 16:37:42;USR-1218;2003-08-23;F;Bootcamp;1;0;150;App;Dota 2;;0
SESS-10561;2026-08-21 22:15:13;USR-1099;1996-05-13;M;VIP;8;1260;1600;App;CS2;;0
SESS-11542;2026-08-20 13:50:08;USR-1066;2002-11-13;M;Bootcamp;2;390;300;Card;PUBG;4.0;0
SESS-13399;2026-08-24 18:19:47;USR-1705;2002-06-18;M;PS5;2;240;500;App;Valorant;;0
SESS-13925;2026-08-04 08:02:03;USR-1449;1994-04-19;M;VIP;8;2300;1600;App;PUBG;4.0;0
SESS-10480;2026-08-21 20:40:21;USR-1474;2003-03-19;M;Bootcamp;2;470;300;App;CS2;;0
SESS-13543;2026-08-18 17:32:38;USR-1032;2007-09-19;M;VIP;1;0;200;Card;Dota 2;;0
SESS-12588;2026-08-04 17:22:31;USR-1512;1988-11-01;M;Standard;2;500;200;Card;Deadlock;;0
SESS-10516;2026-08-09 19:37:48;USR-1678;2008-08-01;M;VIP;8;1040;1600;Card;CS2;5.0;0
SESS-15100;2026-08-02 16:40:41;USR-1708;1999-08-24;M;Bootcamp;2;0;270;Card;CS2;4.0;1
SESS-14869;2026-08-26 01:56:19;USR-1714;2009-01-21;M; standard ;12;0;1200;Cash;Minecraft;2.0;0
SESS-10568;2026-08-15 15:26:48;USR-1701;2005-11-04;M;Standard;1;0;100;Card;Deadlock;4.5;0
SESS-10353;2026-08-17 07:12:14;USR-1023;2003-06-20;M;Standard;2;320;200;Card;Deadlock;4.0;0
SESS-12427;2026-08-07 19:29:01;USR-1222;2012-07-14;M;VIP;3;0;600;App;CS2;;0
SESS-10043;2026-08-03 15:30:08;USR-1507;2006-07-11;M;Standard;1;0;100;Cash;Deadlock;4.0;0
SESS-14108;2026-08-27 20:53:33;USR-1607;2001-01-01;M;Standard;4;0;400;Card;Deadlock;;0
SESS-13267;2026-08-13 01:24:05;USR-1012;2005-04-17;M;Standard;8;640;800;Card;Dota 2;4.0;0
SESS-11268;2026-08-27 15:18:34;USR-1100;2003-03-23;M;PS5;2;0;500;Card;Deadlock;;0
SESS-15007;2026-08-15 22:52:39;USR-1667;2006-08-08;F;Standard;5;0;500;Card;CS2;;0
SESS-12583;2026-08-16 20:45:19;USR-1248;2000-06-07;F;Standard;5;840;450;Card;Cyberpunk 2077;4.0;1
SESS-10391;2026-08-28 23:18:20;USR-1044;2010-12-22;F;Bootcamp;12;720;1800;Cash;Dota 2;2.0;0
SESS-11562;2026-08-01 23:25:05;USR-1419;2003-03-27;M;Bootcamp;8;790;1200;Card;CS2;4.0;0
SESS-13605;2026-08-18 19:10:58;USR-1616;2009-04-21;M;PS5;3;0;750;Card;Valorant;;0
SESS-11732;2026-08-27 20:38:01;USR-1752;2005-12-08;M;PS5;2;0;500;App;CS2;;0
SESS-13993;2026-08-31 22:59:13;USR-1149;1996-01-09;F;Standard;8;0;800;Card;Cyberpunk 2077;5.0;0
SESS-14147;2026-08-01 16:59:13;USR-1128;2010-09-14;M;Standard;2;0;200;Cash;CS2;;0
SESS-13935;2026-08-03 21:43:50;USR-1358;2010-04-10;M;Bootcamp;3;0;450;Cash;Dota 2;4.5;0
SESS-12590;2026-08-04 17:43:05;USR-1713;2012-07-20;M;Standard;3;0;300;Cash;Minecraft;4.0;0
SESS-10957;2026-08-15 19:19:50;USR-1376;2004-04-12;F;Standard;5;600;500;Cash;Valorant;4.5;0
SESS-11337;2026-08-02 20:38:12;USR-1011;2011-12-15;M;Standard;2;0;200;Cash;CS2;;0
SESS-10137;2026-08-12 16:26:18;USR-1235;2008-05-14;M;VIP;2;0;400;App;Cyberpunk 2077;;0
SESS-12992;2026-08-08 19:16:41;USR-1039;1994-11-20;M;Standard;2;240;200;Card;GTA V;;0
SESS-11468;2026-08-09 21:36:47;USR-1360;2007-07-13;M;Bootcamp;3;784;405;Card;Valorant;4.5;1
SESS-14545;2026-08-05 11:24:16;USR-1221;1996-07-08;M;VIP;4;0;720;Card;Dota 2;;1
SESS-15035;2026-08-21 11:00:32;USR-1063;2005-06-25;M;Standard;2;336;180;App;Dota 2;;1
SESS-11655;2026-08-17 23:03:30;USR-1059;2012-05-14;M;VIP;12;480;2400;Cash;Deadlock;5.0;0
SESS-13298;2026-08-06 17:30:47;USR-1504;2010-03-07;M;Bootcamp;1;0;150;App;Minecraft;4.0;0
SESS-12640;2026-08-25 10:01:22;USR-1143;2007-05-26;M;PS5;2;0;500;Cash;CS2;;0
SESS-13791;2026-08-04 05:56:32;USR-1355;2007-05-01;M;Bootcamp;3;390;450;App;CS2;;0
SESS-10877;2026-08-23 17:28:00;USR-1077;2006-09-21;M;VIP;2;0;400;Card;CS2;;0
SESS-13719;2026-08-05 13:07:28;USR-1144;2009-09-12;M;Standard;2;0;200;App;Deadlock;;0
SESS-13853;2026-08-28 17:49:16;USR-1079;2007-12-07;M;VIP;4;470;800;Card;Dota 2;4.0;0
SESS-10345;2026-08-24 15:25:37;USR-1142;2005-03-10;M;Standard;1;160;100;Card;CS2;5.0;0
SESS-10899;2026-08-09 17:59:31;USR-1323;2004-11-08;M;PS5;5;400;1250;Card;CS2;;0
